Source: https://docs.google.com/spreadsheets/d/1YP4mxT_vxiFwXU5ZuBM4obq_oscfhe05ODWwHFHEznM/
Goodall et al. 2022, Throat	Goodall et al. 2022, Combined Nasal/Throat	Kojima et al. 2020, Nasopharyngeal	Tu et al. 2020, Nasopharyngeal
-5.80	8.73	-4.34	0.23
3.56	-0.29	-0.04	0.31
2.17	-7.03	5.25	0.94
4.31	-2.13	12.83	1.37
-11.74	5.54	0.13	2.69
-4.88	-6.29	1.95	3.87
2.00	3.14	-1.30	7.96
4.04	3.25	1.29	12.65
0.63	0.15	4.80	6.38
2.05	0.70	5.08	2.43
1.03	-0.83	1.12	1.33
-3.44	2.73	5.67	0.73
-0.72	-2.92	8.75	0.31
-3.02	0.33	1.52	1.11
-6.53	-0.59	0.25	2.03
3.08	1.46	12.67	2.13
-0.57	-1.92	5.59	2.69
-1.53	1.64	3.97	3.77
7.31	0.76	6.96	-0.10
5.34	0.22	-0.15	-1.74
-0.91	0.66	-0.58	-2.43
-6.49	1.83	2.59	-1.76
-0.66	0.65	15.68	0.10
5.35	0.07		0.51
-3.47	-1.38		0.04
0.43	0.69		-1.93
4.15	-0.27		-4.15
-1.39	-0.31		-3.40
7.63	-2.16		-2.97
-7.61	10.03		-2.43
-5.82	3.05		-3.97
2.05			-4.28
2.96			-5.08
2.05			-4.89
-5.00			-9.01
-0.54			-7.33
-1.41			-4.71
-3.89			-4.21
3.94			-5.05
0.51			-3.01
-9.37			-2.35
-7.69			-0.99
-4.53			-0.32
-3.41			-0.11
0.92			1.73
0.15			3.49
-10.93
5.20
-0.23
-2.84
-5.95
2.99
-0.68
1.67
-4.07
-6.02
-2.03
0.27
