Gsheet Source: https://docs.google.com/spreadsheets/d/1ltqVDZfxZVresIQCoSNFXN4Sr5mlvMwLZVnv0ifdYBI/edit#gid=2069255813	Source file: https://journals.asm.org/doi/full/10.1128/jcm.03060-15, Fig 3a	
Viral copies/ml	RPKM	Virus
4783721.253	0.0162202109	Influenza A
6342616.415	0.06476570463	Influenza A
9925402.561	1.272318544	Influenza A
121517255.6	0.8626498148	Influenza A
246295927.5	1.092196032	Influenza A
588489920.2	5.520659102	Influenza A
1691466474	3.936595266	Influenza A
41648134487	857.7448308	Influenza A
12470084.91	0.3828085622	Influenza B
16521534.4	1.341402344	Influenza B
174842361.9	6.281125096	Influenza B
357699450.5	41.21586096	Influenza B
65369.08569	0.2853277197	Metapneumovirus
289954.6818	0.3432056054	Metapneumovirus
945701.1467	1.172958629	Metapneumovirus
1599806.064	21.30834061	Metapneumovirus
1475526.945	13.66748907	Metapneumovirus
10928432.77	29.99503019	Metapneumovirus
42541729.33	3.623085751	Metapneumovirus
243485005.6	144.3036442	Metapneumovirus
756.8361271	1.020162301	Rhinovirus
2629.221136	0.2366955861	Rhinovirus
6513.820892	0.7096712557	Rhinovirus
104306.2972	0.17381961	Rhinovirus
180936.6934	0.2641646622	Rhinovirus
174450.0522	0.4226817815	Rhinovirus
277086.405	0.1145932447	Rhinovirus
1050176.331	0.1241408502	Rhinovirus
114338.0029	1.871910737	Rhinovirus
175226.9028	0.9252958436	Rhinovirus
485733.7165	1.112330197	Rhinovirus
2829709.771	1.00422175	Rhinovirus
1772075.262	1.446650554	Rhinovirus
4539370.486	1.566408126	Rhinovirus
5493832.679	0.6447273674	Rhinovirus
1254067.232	4.807436194	Rhinovirus
8878616.519	3.711617495	Rhinovirus
9277201.276	8.561230861	Rhinovirus
4594836.804	13.33424054	Rhinovirus
41260311.52	16.47808976	Rhinovirus
52108080.76	12.36718658	Rhinovirus
48460395.55	34.24327061	Rhinovirus
87745428.05	99.98354486	Rhinovirus
102996308.2	187.1664313	Rhinovirus
154938498	3489.577184	Rhinovirus
367146225.9	4085.995885	Rhinovirus
326243385.4	3680.14269	Rhinovirus
900746260.6	2185.633808	Rhinovirus
6684199497	6735.766705	Rhinovirus
104.4273818	0.02132781117	Parainfluenzavirus 1
258530.7431	0.5636279676	Parainfluenzavirus 1
880021.0966	3.605420834	Parainfluenzavirus 1
24172833.25	186.8248518	Parainfluenzavirus 1
216529.9237	0.01493949638	Parainfluenzavirus 3
257.5307448	0.02845797703	Parainfluenzavirus 3
35903227.21	368.5930934	Parainfluenzavirus 3
30659529.75	299.0360456	Parainfluenzavirus 3
15129010.84	242.437455	Parainfluenzavirus 3
77381.29004	2.366741636	Parainfluenzavirus 4
1760825.37	0.4705951929	Parainfluenzavirus 4
1098242893	3320.170462	Respiratory Syncytial Virus
70182020.25	786.7496069	Respiratory Syncytial Virus
5301193.511	1190.960101	Respiratory Syncytial Virus
337765.0177	167.3896665	Respiratory Syncytial Virus
185802320.2	284.4627147	Respiratory Syncytial Virus
10970597.34	59.14900471	Respiratory Syncytial Virus
2770202.947	23.67111674	Respiratory Syncytial Virus
31247.85682	0.8537102653	Respiratory Syncytial Virus
