"sample_id","collection_date","bcov_recovery","bcov_recovery_lci","bcov_recovery_uci","city","state","name","site_name","sewershed_pop","state_abbr","Influenza_A_gc_g_dry_weight","Influenza_A_gc_g_dry_weight_lci","Influenza_A_gc_g_dry_weight_uci","MPXV_G2R_G_gc_g_dry_weight","MPXV_G2R_G_gc_g_dry_weight_lci","MPXV_G2R_G_gc_g_dry_weight_uci","RSV_gc_g_dry_weight","RSV_gc_g_dry_weight_lci","RSV_gc_g_dry_weight_uci","N_Gene_gc_g_dry_weight","N_Gene_gc_g_dry_weight_lci","N_Gene_gc_g_dry_weight_uci","S_Gene_gc_g_dry_weight","S_Gene_gc_g_dry_weight_lci","S_Gene_gc_g_dry_weight_uci","PMMoV_gc_g_dry_weight","PMMoV_gc_g_dry_weight_lci","PMMoV_gc_g_dry_weight_uci","HMPV_4_gc_g_dry_weight","HMPV_4_gc_g_dry_weight_lci","HMPV_4_gc_g_dry_weight_uci","Influenza_B_gc_g_dry_weight","Influenza_B_gc_g_dry_weight_lci","Influenza_B_gc_g_dry_weight_uci","MPXV_G2R_WA_gc_g_dry_weight","MPXV_G2R_WA_gc_g_dry_weight_lci","MPXV_G2R_WA_gc_g_dry_weight_uci","Noro_G2_gc_g_dry_weight","Noro_G2_gc_g_dry_weight_lci","Noro_G2_gc_g_dry_weight_uci","C_auris_gc_g_dry_weight","C_auris_gc_g_dry_weight_lci","C_auris_gc_g_dry_weight_uci","EVD68_gc_g_dry_weight","EVD68_gc_g_dry_weight_lci","EVD68_gc_g_dry_weight_uci","HAV_gc_g_dry_weight","HAV_gc_g_dry_weight_lci","HAV_gc_g_dry_weight_uci","Rota_gc_g_dry_weight","Rota_gc_g_dry_weight_lci","Rota_gc_g_dry_weight_uci","HPIV_gc_g_dry_weight","HPIV_gc_g_dry_weight_lci","HPIV_gc_g_dry_weight_uci"
"146-221212","2022-12-12",1.063,0.96,1.174,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",57609.693467526886,48378.204015483876,66762.07921548389,0,0,0,20790.561555268814,16962.59795956989,24961.1987888172,338141.85359139787,308083.22043870966,362624.629883871,398705.52966881724,370497.96810322587,429662.19994838716,265787734.1591398,258153273.04946238,273429361.96129036,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146-221214","2022-12-14",1.32,1.029,1.6,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",38326.296538888884,32299.422555555553,43643.28583333333,"","","",13881.713977777776,11384.329033333333,16725.165977777775,245677.57711111105,224864.85377777775,266049.04066666664,190758.70516666668,176596.68127777777,204803.46677777774,129817157.33333333,112549612.27777778,146431011.6111111,8607.616855555554,5450.786401666666,12679.350872222221,0,0,0,0,0,0,3712321.3872222216,3506968.8161111106,3949398.4644444445,"","","","","","","","","","","","","","",""
"146-221216","2022-12-16",0.626,0.502,0.752,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",48126.36493333334,42616.52628641975,53290.614370370364,"","","",9629.043530864197,6721.177219753086,12416.780730864197,251251.05585185182,227133.5978765432,273706.9071111111,338655.2834074074,318402.5375802469,356353.5242962963,203651691.95061728,176087273.4814815,231708875.11111113,2422.1173407407414,880.1178617283952,4146.726778765432,0,0,0,0,0,0,5245684.962962963,4965433.002469136,5526792.548148148,"","","","","","","","","","","","","","",""
"146-221219","2022-12-19",0.575,0.517,0.632,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",56331.776412017156,50905.89619456366,62108.06848640915,"","","",13142.453411158796,10220.468298712445,16250.906414878395,358800.25229184545,327750.05729327607,393194.1958683834,537990.0186552217,508694.3661230328,570121.1431187409,203113840.8011445,181009858.5178827,224906866.81545067,7057.585602288984,4458.163770414878,9867.672244921314,0,0,0,0,0,0,5247388.149928468,4860072.844635193,5618826.977968526,"","","","","","","","","","","","","","",""
"146-221221","2022-12-21",0.521,0.365,0.679,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",64706.37750394945,58772.84190837284,70517.46315323855,"","","",16741.306671721963,13918.715440126382,19922.144980726698,447072.87734597165,399991.0038041074,494960.54986413906,438140.4352606635,377080.61907109007,497804.6627993681,188025924.39810425,143008244.47393364,233896438.09162718,7903.979662559243,6034.857852764613,10124.660782306479,0,0,0,0,0,0,5876676.974407583,5233807.651184834,6517926.015797789,"","","","","","","","","","","","","","",""
"146-221223","2022-12-23",1.243,1.119,1.367,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",68764.36523132969,61888.26567577414,75641.1387686703,"","","",6264.571068852459,3924.9721553369764,9062.509068123862,541663.33143898,522333.25283788703,560998.913165756,671329.9637158469,645106.748269581,695689.3837522769,258822148.19672132,235836108.2404372,278917367.48998183,4539.061982076501,2447.330017923497,6626.204281238614,0,0,0,0,0,0,6542930.063387977,6304284.601821493,6827889.754462658,"","","","","","","","","","","","","","",""
"146-221226","2022-12-26",0.724,0.661,0.787,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",91150.0406263982,80189.09258165548,99591.13786129754,"","","",30876.52663266219,26368.584941387024,35871.50147293065,630469.5419418344,563384.5318299775,686332.7538255033,744415.5561521252,664799.8374228188,807672.2827740492,271630832.03579426,255050351.96420583,288225840.4653244,21080.484323937366,14917.284051901568,27519.044724832223,0,0,0,0,0,0,8493586.799105145,7708361.736017896,9378623.334228186,"","","","","","","","","","","","","","",""
"146-221227","2022-12-27",0.853,0.651,1.083,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",65512.27420775193,60034.11462945736,70990.93650852713,"","","",8266.843753178295,6368.982330542634,10508.910630697674,734447.4850232558,708509.7203100775,767710.5572713178,684855.9950387597,627254.0422945736,724778.7123100774,141194547.89457366,102967926.72248062,185089726.41240314,6802.557420155038,5193.908083100774,8713.765844341086,0,0,0,0,0,0,7036638.506666667,6814304.749147287,7294266.2896124,"","","","","","","","","","","","","","",""
"146-221228","2022-12-28",1.016,0.927,1.105,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",43561.4459280236,37469.30969203539,50281.468412979346,"","","",6633.836611209439,4418.99517640118,9488.526348082596,347547.07539823005,324125.68939233036,371701.1983480826,565156.6499115045,517510.11303834803,614534.0913274336,219895678.4896755,214228069.09734514,225569067.32743365,7310.0521864306775,4869.432226548673,10455.759575221238,0,0,0,0,0,0,11241526.376401179,10958437.040707964,11449972.05899705,"","","","","","","","","","","","","","",""
"146-230102","2023-01-02",0.85,0.762,0.943,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",28448.252632792795,24589.041977657653,32692.127400360358,"","","",3433.0234868468465,1716.6702598918919,5285.11184836036,948092.7336936938,906730.7479639639,988065.1525765766,858092.9320360362,824233.9811171172,890991.0457657656,205464900.95855856,199376715.58918917,211558562.94054058,17004.34470054054,13945.13792,20481.94472936937,0,0,0,0,0,0,11529175.466666665,11227233.775855856,11895455.025585586,"","","","","","","","","","","","","","",""
"146-230104","2023-01-04",1.063,0.979,1.147,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",57013.179150957854,51496.48015938697,62911.1469118774,"","","",9475.655938697319,7234.867046743294,12137.909045210728,524605.4696704982,497831.26424521074,550826.3832643678,580294.0865593869,560497.240091954,598610.3627892719,228593474.08429125,207769775.3869732,249692906.66666672,5014.732422988505,3340.489334559387,7172.606914942528,0,0,0,0,0,0,14006883.64137931,13435327.055938696,14654341.774712643,"","","","","","","","","","","","","","",""
"146-230106","2023-01-06",1.302,1.187,1.417,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",24288.91499614815,19324.61349925926,29408.43087644444,"","","",4231.438813392592,2584.423135762963,6101.765101037037,399068.6939496296,366465.0471822222,441415.6087466666,516897.19893333333,495021.43004444445,540380.9498074073,229760199.6325926,214710792.81777778,245742838.51851848,11459.144310518519,9360.622829037035,13850.436740740739,0,0,0,0,0,0,9182921.007407406,8862730.75674074,9588542.388148148,"","","","","","","","","","","","","","",""
