Season	Week Start Date	Week End Date	City/Town	County	Population	Cumulative tests	Tests during the week	Positive tests the week	Week percent positivity	Cumulative confirmed cases	Weekly testing rate	Cases during this week	Weekly case rate	Last updated
2023-2024	7/2/23	7/8/23	Abington	Plymouth	17062.00009918	26	26	3	0.11538461538461539	1-4	152.38541700189978	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Acton	Middlesex	24021.00018311	26	26	2	0.076923076923076927	1-4	108.23862371176992	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Acushnet	Bristol	10559.00005341	20	20	0	0	0	189.41187516654151	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Adams	Berkshire	8165.99994659	39	39	0	0	0	477.59001047123223	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Agawam	Hampden	28692.00012207	84	84	0	0	0	292.76453242235584	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Alford	Berkshire	486.00000143	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Amesbury	Essex	17366	22	22	0	0	0	126.6843256938846	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Amherst	Hampshire	39263.00004578	45	45	0	0	0	114.61172082502804	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Andover	Essex	36569.00007629	52	52	1	0.019230769230769232	1-4	142.19694246908026	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Aquinnah	Dukes	438.99999571	1	1	0	0	0	227.79043502783816	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Arlington	Middlesex	46307.99963379	69	69	2	0.028985507246376812	1-4	149.00233338874804	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Ashburnham	Worcester	6314.99998093	6	6	0	0	0	95.011876771476878	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Ashby	Middlesex	3192.99998283	6	6	0	0	0	187.911056444232	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Ashfield	Franklin	1694.99999428	2	2	0	0	0	117.99410069317183	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Ashland	Middlesex	18832.00002289	35	35	3	0.085714285714285715	1-4	185.85386553450536	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Athol	Worcester	11944.99995422	15	15	2	0.13333333333333333	1-4	125.57555510664285	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Attleboro	Bristol	46461.00015259	60	60	3	0.050000000000000003	1-4	129.14056908578036	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Auburn	Worcester	16889.00013733	23	23	0	0	0	136.18331347610547	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Avon	Norfolk	4777.00003815	1	1	0	0	0	20.933640192878716	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Ayer	Middlesex	8478.99995804	9	9	0	0	0	106.14459304798055	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Barnstable	Barnstable	48915.99993896	234	234	12	0.05128205128205128	10	478.3710857224583	10	20.44320879155805	3/7/24
2023-2024	7/2/23	7/8/23	Barre	Worcester	5530.00001907	6	6	0	0	0	108.49909546671289	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Becket	Berkshire	1930.99999714	4	4	0	0	0	207.14655649530766	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Bedford	Middlesex	14383	22	22	2	0.090909090909090912	1-4	152.95835361190294	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Belchertown	Hampshire	15349.99999237	50	50	2	0.040000000000000001	1-4	325.73289918471283	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Bellingham	Norfolk	16944.99993896	43	43	1	0.023255813953488372	1-4	253.76217264618722	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Belmont	Middlesex	27294.99996948	35	35	2	0.057142857142857141	1-4	128.22861344251831	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Berkley	Bristol	6763.99998665	6	6	0	0	0	88.704908513336861	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Berlin	Worcester	3158.00001144	2	2	0	0	0	63.331222063169989	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Bernardston	Franklin	2101.99997711	10	10	0	0	0	475.73739813969024	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Beverly	Essex	42670.00018311	83	83	0	0	0	194.51605259859772	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Billerica	Middlesex	42118.99984741	54	54	4	0.07407407407407407	1-4	128.20817254833412	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Blackstone	Worcester	9207.99999237	22	22	2	0.090909090909090912	1-4	238.92267613194832	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Blandford	Hampden	1215.00000381	2	2	0	0	0	164.60905298176093	0	0	3/7/24
