Season	Week Start Date	Week End Date	County	Population	Cases during this week	Cumulative confirmed cases	Cumulative tests	Tests during the week	Positive tests the week	Week percent positivity	Weekly case rate	Weekly testing rate	Last updated
2023-2024	7/2/23	7/8/23	Barnstable	228995.9998	57	57	1014	1014	73	0.071992110453648922	24.89126449797487	442.80249475344772	3/7/24
2023-2024	7/2/23	7/8/23	Berkshire	129026	6	6	508	508	6	0.011811023622047244	4.6502255359384934	393.71909537612578	3/7/24
2023-2024	7/2/23	7/8/23	Bristol	579200	35	35	597	597	36	0.06030150753768844	6.0428176795580111	103.07320441988951	3/7/24
2023-2024	7/2/23	7/8/23	Dukes and Nantucket	34855	3	3	104	104	4	0.038461538461538464	8.6070865012193387	298.37899870893705	3/7/24
2023-2024	7/2/23	7/8/23	Essex	809829.0011	65	65	1380	1380	70	0.050724637681159424	8.0263858063504454	170.40634481174794	3/7/24
2023-2024	7/2/23	7/8/23	Franklin	71028.9999	7	7	260	260	8	0.030769230769230771	9.855129608828971	366.04767118507607	3/7/24
2023-2024	7/2/23	7/8/23	Hampden	465824.9991	38	38	1781	1781	42	0.023582257158899493	8.1575699186213981	382.33242171222923	3/7/24
2023-2024	7/2/23	7/8/23	Hampshire	162308.0003	9	9	364	364	10	0.027472527472527472	5.5450131745600713	224.2649772822073	3/7/24
2023-2024	7/2/23	7/8/23	Middlesex	1632001.997	155	155	2519	2519	163	0.064708217546645491	9.4975373979275837	154.35030132502956	3/7/24
2023-2024	7/2/23	7/8/23	Norfolk	725980.9995	58	58	1074	1074	62	0.057728119180633149	7.9891898052353918	147.93775604866914	3/7/24
2023-2024	7/2/23	7/8/23	Plymouth	530818.9998	47	47	722	722	48	0.066481994459833799	8.8542422214932923	136.01623157272678	3/7/24
2023-2024	7/2/23	7/8/23	Statewide (all of MA)	7029916.997	607	607	13330	13330	658	0.049362340585146283	8.6345258451705149	189.61817053727012	3/7/24
2023-2024	7/2/23	7/8/23	Suffolk	797935.9991	62	62	1451	1451	64	0.044107512060647829	7.7700467293029041	181.84415813255669	3/7/24
2023-2024	7/2/23	7/8/23	Unknown		2	2	129	129	2	*	*	*	3/7/24
2023-2024	7/2/23	7/8/23	Worcester	862111.0013	63	63	1427	1427	70	0.049053959355290819	7.3076436682748085	165.52392880362143	3/7/24
2023-2024	7/9/23	7/15/23	Barnstable	228995.9998	42	99	2124	1110	58	0.052252252252252253	18.340931735349905	484.72462443424746	3/7/24
2023-2024	7/9/23	7/15/23	Berkshire	129026	21	27	1183	675	22	0.03259259259259259	16.275789375784726	523.15037279308046	3/7/24
2023-2024	7/9/23	7/15/23	Bristol	579200	49	84	1227	630	53	0.084126984126984133	8.4599447513812152	108.7707182320442	3/7/24
2023-2024	7/9/23	7/15/23	Dukes and Nantucket	34855	6	9	238	134	8	0.059701492537313432	17.214173002438677	384.44986372113044	3/7/24
2023-2024	7/9/23	7/15/23	Essex	809829.0011	94	159	2998	1618	100	0.061804697156983932	11.607388704568338	199.79526514884651	3/7/24
2023-2024	7/9/23	7/15/23	Franklin	71028.9999	9	16	536	276	9	0.032608695652173912	12.670880925637247	388.57368171954232	3/7/24
2023-2024	7/9/23	7/15/23	Hampden	465824.9991	35	73	3575	1794	36	0.020066889632107024	7.5135512408354979	385.12316931596814	3/7/24
2023-2024	7/9/23	7/15/23	Hampshire	162308.0003	6	15	706	342	8	0.023391812865497075	3.6966754497067136	210.71050063328269	3/7/24
2023-2024	7/9/23	7/15/23	Middlesex	1632001.997	186	341	5299	2780	200	0.071942446043165464	11.397044877513101	170.3429288144431	3/7/24
2023-2024	7/9/23	7/15/23	Norfolk	725980.9995	58	116	2212	1138	61	0.053602811950790863	7.9891898052353918	156.75341376479096	3/7/24
2023-2024	7/9/23	7/15/23	Plymouth	530818.9998	50	97	1485	763	52	0.068152031454783754	9.4194066186098873	143.74014499998688	3/7/24
2023-2024	7/9/23	7/15/23	Statewide (all of MA)	7029916.997	716	1323	27764	14434	779	0.05396979354302342	10.185042018355995	205.32248113540561	3/7/24
2023-2024	7/9/23	7/15/23	Suffolk	797935.9991	100	162	2958	1507	105	0.069674850696748503	12.532333434359522	188.862264855798	3/7/24
2023-2024	7/9/23	7/15/23	Unknown		0	2	270	141	0	*	*	*	3/7/24
2023-2024	7/9/23	7/15/23	Worcester	862111.0013	60	123	2953	1526	67	0.043905635648754916	6.959660636452198	177.00736885376756	3/7/24
2023-2024	7/16/23	7/22/23	Barnstable	228995.9998	57	156	3183	1059	69	0.065155807365439092	24.89126449797487	462.45349304132259	3/7/24
2023-2024	7/16/23	7/22/23	Berkshire	129026	33	60	1850	667	37	0.055472263868065967	25.576240447661711	516.95007207849585	3/7/24
2023-2024	7/16/23	7/22/23	Bristol	579200	64	148	1827	600	66	0.11	11.049723756906078	103.59116022099447	3/7/24
2023-2024	7/16/23	7/22/23	Dukes and Nantucket	34855	8	17	376	138	9	0.065217391304347824	22.952230669918233	395.92597905608949	3/7/24
2023-2024	7/16/23	7/22/23	Essex	809829.0011	95	254	4583	1585	103	0.064984227129337546	11.730871563127575	195.72033081639165	3/7/24
2023-2024	7/16/23	7/22/23	Franklin	71028.9999	14	30	791	255	14	0.054901960784313725	19.710259217657942	359.00829289305534	3/7/24
2023-2024	7/16/23	7/22/23	Hampden	465824.9991	59	132	5333	1758	59	0.033560864618885099	12.665700663122697	377.3949451825373	3/7/24
2023-2024	7/16/23	7/22/23	Hampshire	162308.0003	10	25	1034	328	13	0.039634146341463415	6.1611257495111893	202.08492458396702	3/7/24
2023-2024	7/16/23	7/22/23	Middlesex	1632001.997	192	533	8043	2744	209	0.076166180758017496	11.764691486465136	168.1370491607309	3/7/24
2023-2024	7/16/23	7/22/23	Norfolk	725980.9995	79	195	3375	1163	86	0.073946689595872736	10.881827493337861	160.19703006015104	3/7/24
2023-2024	7/16/23	7/22/23	Plymouth	530818.9998	60	157	2366	881	69	0.078320090805902381	11.303287942331865	165.96994461990622	3/7/24
