Tab Name	Variable Name	Description	Source	Notes
Case and Death Demographics	Cases during this week	"Number of confirmed and probable COVID-19 cases during the specified week, by test date."	"Massachusetts Virtual Epidemiologic Network (MAVEN), Division of Surveillance, Analytics and Informatics, Bureau of Infectious Disease and Laboratory Services, Massachusetts Department of Public Health."	"*Cells with fewer than 5 observations have been suppressed. Groups without population estimates, such as other/ unknown, will not have rates listed. Recent data may include suppressed counts and should be interpreted with caution. Interpret recent data with caution as data backfill over time and these values are likely to change."
Case and Death Demographics	Cumulative case rate	"The crude rate of cumulative COVID-19 cases per 100,000 MA residents who are of the specified demographic group. "	"Massachusetts Virtual Epidemiologic Network (MAVEN), Division of Surveillance, Analytics and Informatics, Bureau of Infectious Disease and Laboratory Services, Massachusetts Department of Public Health."	"*Cells with fewer than 5 observations have been suppressed. Groups without population estimates, such as other/ unknown, will not have rates listed. Recent data may include suppressed counts and should be interpreted with caution. Interpret recent data with caution as data backfill over time and these values are likely to change."
Case and Death Demographics	Cumulative cases	Cumulative total number of confirmed and probable COVID-19 cases this season through the specified week.	"Massachusetts Virtual Epidemiologic Network (MAVEN), Division of Surveillance, Analytics and Informatics, Bureau of Infectious Disease and Laboratory Services, Massachusetts Department of Public Health."	"*Cells with fewer than 5 observations have been suppressed. Groups without population estimates, such as other/ unknown, will not have rates listed. Recent data may include suppressed counts and should be interpreted with caution. Interpret recent data with caution as data backfill over time and these values are likely to change."
Case and Death Demographics	Cumulative death rate	"The crude rate of cumulative COVID-19 deaths per 100,000 MA residents who are of the specified demographic group. "	"Registry of Vital Records and Statistics, Massachusetts Department of Public Health."	"*Cells with fewer than 5 observations have been suppressed. Groups without population estimates, such as other/ unknown, will not have rates listed. Recent data may include suppressed counts and should be interpreted with caution. Interpret recent data with caution as data backfill over time and these values are likely to change."
Case and Death Demographics	Cumulative deaths	Cumulative total number of confirmed and probable COVID-19 deaths this season through the specified week.	"Registry of Vital Records and Statistics, Massachusetts Department of Public Health."	"*Cells with fewer than 5 observations have been suppressed. Groups without population estimates, such as other/ unknown, will not have rates listed. Recent data may include suppressed counts and should be interpreted with caution. Interpret recent data with caution as data backfill over time and these values are likely to change."
Case and Death Demographics	Deaths during this week	"Number of confirmed and probable COVID-19 deaths attributed to the specified week, by date of death."	"Registry of Vital Records and Statistics, Massachusetts Department of Public Health."	"*Cells with fewer than 5 observations have been suppressed. Groups without population estimates, such as other/ unknown, will not have rates listed. Recent data may include suppressed counts and should be interpreted with caution. Interpret recent data with caution as data backfill over time and these values are likely to change."
Case and Death Demographics	Estimated population	"The estimated population in Massachusetts of the people listed in the ""Subgroup"" field. "	"UMDI Interim 2020 Population Estimates by Age, Sex, Race, and Municipality, UMass Donahue Institute Population Estimates Program, March 1, 2022"	"MDPH calculates rates per 100,000 population using denominators estimated by the University of Massachusetts Donahue Institute using a modified Hamilton-Perry model (Strate S, et al. Small Area Population Estimates for 2011 through 2020, report, Oct 2016.) ** Groups without population estimates, such as other/ unknown, will not have values listed."
Case and Death Demographics	Group	"Demographic category that the data apply to, such as age, sex, or race and ethnicity."		"Reported sex or gender is the individual’s sex or gender reported by the ordering provider or the individual. It includes individuals that may not identify as one of the listed categories and/or are misclassified. This may include individuals of transgender experience, non-binary individuals, people who are intersex, and others. MDPH continues to work to update data reporting and collection of patient information to better reflect and serve all Massachusetts residents"
Case and Death Demographics	Percent of the population	The percent of the estimated Massachusetts population that this subgroup represents. 	"UMDI Interim 2020 Population Estimates by Age, Sex, Race, and Municipality, UMass Donahue Institute Population Estimates Program, March 1, 2022"	"MDPH calculates rates per 100,000 population using denominators estimated by the University of Massachusetts Donahue Institute using a modified Hamilton-Perry model (Strate S, et al. Small Area Population Estimates for 2011 through 2020, report, Oct 2016.) ** Groups without population estimates, such as other/ unknown, will not have values listed."
Case and Death Demographics	Subgroup	"The specific age, sex, or race and ethnicity group."		"Reported sex or gender is the individual’s sex or gender reported by the ordering provider or the individual. It includes individuals that may not identify as one of the listed categories and/or are misclassified. This may include individuals of transgender experience, non-binary individuals, people who are intersex, and others. MDPH continues to work to update data reporting and collection of patient information to better reflect and serve all Massachusetts residents"
