Season	Week Start Date	Week End Date	MMWR Week	Activity type	Region Name	Activity level	Last updated
2023-2024	7/2/23	7/8/23	27	ILI	Boston	Minimal	3/7/24
2023-2024	7/2/23	7/8/23	27	ILI	Central	Minimal	3/7/24
2023-2024	7/2/23	7/8/23	27	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	7/2/23	7/8/23	27	ILI	Northeast	Minimal	3/7/24
2023-2024	7/2/23	7/8/23	27	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	7/2/23	7/8/23	27	ILI	Southeast	Minimal	3/7/24
2023-2024	7/2/23	7/8/23	27	ILI	West	Minimal	3/7/24
2023-2024	7/9/23	7/15/23	28	ILI	Boston	Minimal	3/7/24
2023-2024	7/9/23	7/15/23	28	ILI	Central	Minimal	3/7/24
2023-2024	7/9/23	7/15/23	28	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	7/9/23	7/15/23	28	ILI	Northeast	Minimal	3/7/24
2023-2024	7/9/23	7/15/23	28	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	7/9/23	7/15/23	28	ILI	Southeast	Minimal	3/7/24
2023-2024	7/9/23	7/15/23	28	ILI	West	Minimal	3/7/24
2023-2024	7/16/23	7/22/23	29	ILI	Boston	Minimal	3/7/24
2023-2024	7/16/23	7/22/23	29	ILI	Central	Minimal	3/7/24
2023-2024	7/16/23	7/22/23	29	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	7/16/23	7/22/23	29	ILI	Northeast	Minimal	3/7/24
2023-2024	7/16/23	7/22/23	29	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	7/16/23	7/22/23	29	ILI	Southeast	Minimal	3/7/24
2023-2024	7/16/23	7/22/23	29	ILI	West	Minimal	3/7/24
2023-2024	7/23/23	7/29/23	30	ILI	Boston	Minimal	3/7/24
2023-2024	7/23/23	7/29/23	30	ILI	Central	Minimal	3/7/24
2023-2024	7/23/23	7/29/23	30	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	7/23/23	7/29/23	30	ILI	Northeast	Minimal	3/7/24
2023-2024	7/23/23	7/29/23	30	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	7/23/23	7/29/23	30	ILI	Southeast	Minimal	3/7/24
2023-2024	7/23/23	7/29/23	30	ILI	West	Minimal	3/7/24
2023-2024	7/30/23	8/5/23	31	ILI	Boston	Minimal	3/7/24
2023-2024	7/30/23	8/5/23	31	ILI	Central	Minimal	3/7/24
2023-2024	7/30/23	8/5/23	31	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	7/30/23	8/5/23	31	ILI	Northeast	Minimal	3/7/24
2023-2024	7/30/23	8/5/23	31	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	7/30/23	8/5/23	31	ILI	Southeast	Minimal	3/7/24
2023-2024	7/30/23	8/5/23	31	ILI	West	Minimal	3/7/24
2023-2024	8/6/23	8/12/23	32	ILI	Boston	Minimal	3/7/24
2023-2024	8/6/23	8/12/23	32	ILI	Central	Minimal	3/7/24
2023-2024	8/6/23	8/12/23	32	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	8/6/23	8/12/23	32	ILI	Northeast	Minimal	3/7/24
2023-2024	8/6/23	8/12/23	32	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	8/6/23	8/12/23	32	ILI	Southeast	Minimal	3/7/24
2023-2024	8/6/23	8/12/23	32	ILI	West	Minimal	3/7/24
2023-2024	8/13/23	8/19/23	33	ILI	Boston	Minimal	3/7/24
2023-2024	8/13/23	8/19/23	33	ILI	Central	Minimal	3/7/24
2023-2024	8/13/23	8/19/23	33	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	8/13/23	8/19/23	33	ILI	Northeast	Minimal	3/7/24
2023-2024	8/13/23	8/19/23	33	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	8/13/23	8/19/23	33	ILI	Southeast	Minimal	3/7/24
2023-2024	8/13/23	8/19/23	33	ILI	West	Minimal	3/7/24
2023-2024	8/20/23	8/26/23	34	ILI	Boston	Minimal	3/7/24
2023-2024	8/20/23	8/26/23	34	ILI	Central	Minimal	3/7/24
2023-2024	8/20/23	8/26/23	34	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	8/20/23	8/26/23	34	ILI	Northeast	Minimal	3/7/24
2023-2024	8/20/23	8/26/23	34	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	8/20/23	8/26/23	34	ILI	Southeast	Minimal	3/7/24
2023-2024	8/20/23	8/26/23	34	ILI	West	Minimal	3/7/24
2023-2024	8/27/23	9/2/23	35	ILI	Boston	Minimal	3/7/24
2023-2024	8/27/23	9/2/23	35	ILI	Central	Minimal	3/7/24
2023-2024	8/27/23	9/2/23	35	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	8/27/23	9/2/23	35	ILI	Northeast	Minimal	3/7/24
2023-2024	8/27/23	9/2/23	35	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	8/27/23	9/2/23	35	ILI	Southeast	Minimal	3/7/24
2023-2024	8/27/23	9/2/23	35	ILI	West	Minimal	3/7/24
2023-2024	9/3/23	9/9/23	36	ILI	Boston	Minimal	3/7/24
2023-2024	9/3/23	9/9/23	36	ILI	Central	Minimal	3/7/24
2023-2024	9/3/23	9/9/23	36	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	9/3/23	9/9/23	36	ILI	Northeast	Minimal	3/7/24
2023-2024	9/3/23	9/9/23	36	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	9/3/23	9/9/23	36	ILI	Southeast	Minimal	3/7/24
2023-2024	9/3/23	9/9/23	36	ILI	West	Minimal	3/7/24
2023-2024	9/10/23	9/16/23	37	ILI	Boston	Minimal	3/7/24
2023-2024	9/10/23	9/16/23	37	ILI	Central	Minimal	3/7/24
2023-2024	9/10/23	9/16/23	37	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	9/10/23	9/16/23	37	ILI	Northeast	Minimal	3/7/24
2023-2024	9/10/23	9/16/23	37	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	9/10/23	9/16/23	37	ILI	Southeast	Minimal	3/7/24
2023-2024	9/10/23	9/16/23	37	ILI	West	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Boston	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Central	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Northeast	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Outer Metro Boston	Low	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Southeast	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	West	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Boston	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Central	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Northeast	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Southeast	Minimal	3/7/24
