Season	MMWR Week	Activity Type	Week Start Date	Week End Date	Indicator	Last updated
2018-2019	27	ILI	7/1/18	7/7/18	Minimal	3/7/24
2018-2019	28	ILI	7/8/18	7/14/18	Minimal	3/7/24
2018-2019	29	ILI	7/15/18	7/21/18	Minimal	3/7/24
2018-2019	30	ILI	7/22/18	7/28/18	Minimal	3/7/24
2018-2019	31	ILI	7/29/18	8/4/18	Minimal	3/7/24
2018-2019	32	ILI	8/5/18	8/11/18	Minimal	3/7/24
2018-2019	33	ILI	8/12/18	8/18/18	Minimal	3/7/24
2018-2019	34	ILI	8/19/18	8/25/18	Minimal	3/7/24
2018-2019	35	ILI	8/26/18	9/1/18	Minimal	3/7/24
2018-2019	36	ILI	9/2/18	9/8/18	Minimal	3/7/24
2018-2019	37	ILI	9/9/18	9/15/18	Minimal	3/7/24
2018-2019	38	ILI	9/16/18	9/22/18	Minimal	3/7/24
2018-2019	39	ILI	9/23/18	9/29/18	Minimal	3/7/24
2018-2019	40	ILI	9/30/18	10/6/18	Minimal	3/7/24
2018-2019	41	ILI	10/7/18	10/13/18	Minimal	3/7/24
2018-2019	42	ILI	10/14/18	10/20/18	Minimal	3/7/24
2018-2019	43	ILI	10/21/18	10/27/18	Minimal	3/7/24
2018-2019	44	ILI	10/28/18	11/3/18	Minimal	3/7/24
2018-2019	45	ILI	11/4/18	11/10/18	Minimal	3/7/24
2018-2019	46	ILI	11/11/18	11/17/18	Minimal	3/7/24
2018-2019	47	ILI	11/18/18	11/24/18	Minimal	3/7/24
2018-2019	48	ILI	11/25/18	12/1/18	Minimal	3/7/24
2018-2019	49	ILI	12/2/18	12/8/18	Minimal	3/7/24
2018-2019	50	ILI	12/9/18	12/15/18	Minimal	3/7/24
2018-2019	51	ILI	12/16/18	12/22/18	Low	3/7/24
2018-2019	52	ILI	12/23/18	12/29/18	High	3/7/24
2018-2019	1	ILI	12/30/18	1/5/19	Moderate	3/7/24
2018-2019	2	ILI	1/6/19	1/12/19	Moderate	3/7/24
2018-2019	3	ILI	1/13/19	1/19/19	Moderate	3/7/24
2018-2019	4	ILI	1/20/19	1/26/19	Moderate	3/7/24
2018-2019	5	ILI	1/27/19	2/2/19	Moderate	3/7/24
2018-2019	6	ILI	2/3/19	2/9/19	High	3/7/24
2018-2019	7	ILI	2/10/19	2/16/19	Moderate	3/7/24
2018-2019	8	ILI	2/17/19	2/23/19	Moderate	3/7/24
2018-2019	9	ILI	2/24/19	3/2/19	Low	3/7/24
2018-2019	10	ILI	3/3/19	3/9/19	Low	3/7/24
2018-2019	11	ILI	3/10/19	3/16/19	Low	3/7/24
2018-2019	12	ILI	3/17/19	3/23/19	Low	3/7/24
