Season	Group	Subgroup	Type	Week Start Date	Week End Date	MMWR Week	Percent	Last updated
2023-2024	Total	Total	HOSP	7/2/23	7/8/23	27	0.09417673834563	3/7/24
2023-2024	Total	Total	HOSP	7/9/23	7/15/23	28	0.05252100840336	3/7/24
2023-2024	Total	Total	HOSP	7/16/23	7/22/23	29	0.08230452674897	3/7/24
2023-2024	Total	Total	HOSP	7/23/23	7/29/23	30	0.03781576160944	3/7/24
2023-2024	Total	Total	HOSP	7/30/23	8/5/23	31	0.11391251518834	3/7/24
2023-2024	Total	Total	HOSP	8/6/23	8/12/23	32	0.08107311320755	3/7/24
2023-2024	Total	Total	HOSP	8/13/23	8/19/23	33	0.09143553794575	3/7/24
2023-2024	Total	Total	HOSP	8/20/23	8/26/23	34	0.14644673963311	3/7/24
2023-2024	Total	Total	HOSP	8/27/23	9/2/23	35	0.13786764705882	3/7/24
2023-2024	Total	Total	HOSP	9/3/23	9/9/23	36	0.14316931655489	3/7/24
2023-2024	Total	Total	HOSP	9/10/23	9/16/23	37	0.06857142857143	3/7/24
2023-2024	Total	Total	HOSP	9/17/23	9/23/23	38	0.16685627607129	3/7/24
2023-2024	Total	Total	HOSP	9/24/23	9/30/23	39	0.1820664542558	3/7/24
2023-2024	Total	Total	HOSP	10/1/23	10/7/23	40	0.1813433918468	3/7/24
2023-2024	Total	Total	HOSP	10/8/23	10/14/23	41	0.13677811550152	3/7/24
2023-2024	Total	Total	HOSP	10/15/23	10/21/23	42	0.1874203463528	3/7/24
2023-2024	Total	Total	HOSP	10/22/23	10/28/23	43	0.27844671884407	3/7/24
2023-2024	Total	Total	HOSP	10/29/23	11/4/23	44	0.22304260882941	3/7/24
2023-2024	Total	Total	HOSP	11/5/23	11/11/23	45	0.3390341294357	3/7/24
2023-2024	Total	Total	HOSP	11/12/23	11/18/23	46	0.43497493364789	3/7/24
2023-2024	Total	Total	HOSP	11/19/23	11/25/23	47	0.48324487047453	3/7/24
2023-2024	Total	Total	HOSP	11/26/23	12/2/23	48	0.91915755952812	3/7/24
2023-2024	Total	Total	HOSP	12/3/23	12/9/23	49	1.16731517509728	3/7/24
2023-2024	Total	Total	HOSP	12/10/23	12/16/23	50	1.87683284457478	3/7/24
2023-2024	Total	Total	HOSP	12/17/23	12/23/23	51	2.52498684902683	3/7/24
2023-2024	Total	Total	HOSP	12/24/23	12/30/23	52	4.37485954004045	3/7/24
2023-2024	Total	Total	HOSP	12/31/23	1/6/24	1	3.77539005004416	3/7/24
2023-2024	Total	Total	HOSP	1/7/24	1/13/24	2	3.38445656982746	3/7/24
2023-2024	Total	Total	HOSP	1/14/24	1/20/24	3	2.35074336420954	3/7/24
2023-2024	Total	Total	HOSP	1/21/24	1/27/24	4	2.87128712871287	3/7/24
2023-2024	Total	Total	HOSP	1/28/24	2/3/24	5	2.38548891090618	3/7/24
2023-2024	Total	Total	HOSP	2/4/24	2/10/24	6	2.69499286840327	3/7/24
2023-2024	Total	Total	HOSP	2/11/24	2/17/24	7	2.90075176550991	3/7/24
2023-2024	Total	Total	HOSP	2/18/24	2/24/24	8	2.77458419560052	3/7/24
2023-2024	Total	Total	HOSP	2/25/24	3/2/24	9	2.85087719298246	3/7/24
2018-2019	Total	Total	HOSP	9/30/18	10/6/18	40	0.13072	3/7/24
2018-2019	Total	Total	HOSP	10/7/18	10/13/18	41	0.10008	3/7/24
2018-2019	Total	Total	HOSP	10/14/18	10/20/18	42	0.03084	3/7/24
2018-2019	Total	Total	HOSP	10/21/18	10/27/18	43	0.05138	3/7/24
2018-2019	Total	Total	HOSP	10/28/18	11/3/18	44	0.12194	3/7/24
2018-2019	Total	Total	HOSP	11/4/18	11/10/18	45	0.163	3/7/24
2018-2019	Total	Total	HOSP	11/11/18	11/17/18	46	0.14697	3/7/24
2018-2019	Total	Total	HOSP	11/18/18	11/24/18	47	0.23557	3/7/24
2018-2019	Total	Total	HOSP	11/25/18	12/1/18	48	0.3694	3/7/24
2018-2019	Total	Total	HOSP	12/2/18	12/8/18	49	0.48377	3/7/24
2018-2019	Total	Total	HOSP	12/9/18	12/15/18	50	0.67568	3/7/24
2018-2019	Total	Total	HOSP	12/16/18	12/22/18	51	1.12348	3/7/24
2018-2019	Total	Total	HOSP	12/23/18	12/29/18	52	2.47587	3/7/24
2018-2019	Total	Total	HOSP	1/6/19	1/12/19	1	2.49358	3/7/24
2018-2019	Total	Total	HOSP	1/13/19	1/19/19	2	2.52008	3/7/24
2018-2019	Total	Total	HOSP	1/20/19	1/26/19	3	2.79409	3/7/24
2018-2019	Total	Total	HOSP	1/27/19	2/2/19	4	2.66134	3/7/24
2018-2019	Total	Total	HOSP	2/3/19	2/9/19	5	3.04018	3/7/24
2018-2019	Total	Total	HOSP	2/10/19	2/16/19	6	2.93797	3/7/24
2018-2019	Total	Total	HOSP	2/17/19	2/23/19	7	2.74379	3/7/24
2018-2019	Total	Total	HOSP	2/24/19	3/2/19	8	2.50345	3/7/24
2018-2019	Total	Total	HOSP	3/3/19	3/9/19	9	2.20369	3/7/24
2018-2019	Total	Total	HOSP	3/10/19	3/16/19	10	1.92626	3/7/24
2018-2019	Total	Total	HOSP	3/17/19	3/23/19	11	1.83073	3/7/24
2018-2019	Total	Total	HOSP	3/24/19	3/30/19	12	1.99148	3/7/24
2018-2019	Total	Total	HOSP	3/31/19	4/6/19	13	1.94583	3/7/24
2018-2019	Total	Total	HOSP	4/7/19	4/13/19	14	1.559	3/7/24
2018-2019	Total	Total	HOSP	4/14/19	4/20/19	15	1.68344	3/7/24
2018-2019	Total	Total	HOSP	4/21/19	4/27/19	16	1.29045	3/7/24
2018-2019	Total	Total	HOSP	4/28/19	5/4/19	17	0.73978	3/7/24
2018-2019	Total	Total	HOSP	5/5/19	5/11/19	18	0.23518	3/7/24
2018-2019	Total	Total	HOSP	5/12/19	5/18/19	19	0.20138	3/7/24
2018-2019	Total	Total	HOSP	5/19/19	5/25/19	20	0.16802	3/7/24
2018-2019	Total	Total	HOSP	5/26/19	6/1/19	21	0.19973	3/7/24
2018-2019	Total	Total	HOSP	6/2/19	6/8/19	22	0.0688	3/7/24
2018-2019	Total	Total	HOSP	6/9/19	6/15/19	23	0.05958	3/7/24
2018-2019	Total	Total	HOSP	6/16/19	6/22/19	24	0.091	3/7/24
2018-2019	Total	Total	HOSP	6/23/19	6/29/19	25	0.06045	3/7/24
2019-2020	Total	Total	HOSP	6/30/19	7/6/19	26	0.04046	3/7/24
2019-2020	Total	Total	HOSP	7/7/19	7/13/19	27	0.03152	3/7/24
2019-2020	Total	Total	HOSP	7/14/19	7/20/19	28	0	3/7/24
2019-2020	Total	Total	HOSP	7/21/19	7/27/19	29	0	3/7/24
2019-2020	Total	Total	HOSP	7/28/19	8/3/19	30	0.02044	3/7/24
2019-2020	Total	Total	HOSP	8/4/19	8/10/19	31	0.01008	3/7/24
2019-2020	Total	Total	HOSP	8/11/19	8/17/19	32	0.01026	3/7/24
2019-2020	Total	Total	HOSP	8/18/19	8/24/19	33	0.01029	3/7/24
2019-2020	Total	Total	HOSP	8/25/19	8/31/19	34	0.01015	3/7/24
2019-2020	Total	Total	HOSP	9/1/19	9/7/19	35	0.0715	3/7/24
2019-2020	Total	Total	HOSP	9/8/19	9/14/19	36	0.07133	3/7/24
2019-2020	Total	Total	HOSP	9/15/19	9/21/19	37	0.0495	3/7/24
2019-2020	Total	Total	HOSP	9/22/19	9/28/19	38	0.06947	3/7/24
2019-2020	Total	Total	HOSP	9/29/19	10/5/19	39	0.0479	3/7/24
2019-2020	Total	Total	HOSP	9/29/19	10/5/19	40	0.04139	3/7/24
2019-2020	Total	Total	HOSP	10/6/19	10/12/19	41	0.09014	3/7/24
2019-2020	Total	Total	HOSP	10/13/19	10/19/19	42	0.08882	3/7/24
2019-2020	Total	Total	HOSP	10/20/19	10/26/19	43	0.09042	3/7/24
2019-2020	Total	Total	HOSP	10/27/19	11/2/19	44	0.09129	3/7/24
2019-2020	Total	Total	HOSP	11/3/19	11/9/19	45	0.07963	3/7/24
2019-2020	Total	Total	HOSP	11/10/19	11/16/19	46	0.20556	3/7/24
2019-2020	Total	Total	HOSP	11/17/19	11/23/19	47	0.20694	3/7/24
2019-2020	Total	Total	HOSP	11/24/19	11/30/19	48	0.24995	3/7/24
2019-2020	Total	Total	HOSP	12/1/19	12/7/19	49	0.31265	3/7/24
2019-2020	Total	Total	HOSP	12/8/19	12/14/19	50	0.44082	3/7/24
2019-2020	Total	Total	HOSP	12/15/19	12/21/19	51	0.56589	3/7/24
2019-2020	Total	Total	HOSP	12/22/19	12/28/19	52	1.30782	3/7/24
2019-2020	Total	Total	HOSP	1/5/20	1/11/20	1	2.11697	3/7/24
2019-2020	Total	Total	HOSP	1/12/20	1/18/20	2	2.39887	3/7/24
2019-2020	Total	Total	HOSP	1/19/20	1/25/20	3	2.42595	3/7/24
2019-2020	Total	Total	HOSP	1/26/20	2/1/20	4	3.06664	3/7/24
2019-2020	Total	Total	HOSP	2/2/20	2/8/20	5	3.3275	3/7/24
2019-2020	Total	Total	HOSP	2/9/20	2/15/20	6	4.62205	3/7/24
2019-2020	Total	Total	HOSP	2/16/20	2/22/20	7	3.84211	3/7/24
2019-2020	Total	Total	HOSP	2/23/20	2/29/20	8	3.75229	3/7/24
2019-2020	Total	Total	HOSP	3/1/20	3/7/20	9	2.94534	3/7/24
2019-2020	Total	Total	HOSP	3/8/20	3/14/20	10	2.67031	3/7/24
2019-2020	Total	Total	HOSP	3/15/20	3/21/20	11	2.17256	3/7/24
2019-2020	Total	Total	HOSP	3/22/20	3/28/20	12	0.86136	3/7/24
2019-2020	Total	Total	HOSP	3/29/20	4/4/20	13	0.51077	3/7/24
2019-2020	Total	Total	HOSP	4/5/20	4/11/20	14	0.1657	3/7/24
2019-2020	Total	Total	HOSP	4/12/20	4/18/20	15	0.17283	3/7/24
2019-2020	Total	Total	HOSP	4/19/20	4/25/20	16	0.02589	3/7/24
2019-2020	Total	Total	HOSP	4/26/20	5/2/20	17	0.06053	3/7/24
2019-2020	Total	Total	HOSP	5/3/20	5/9/20	18	0.01224	3/7/24
2019-2020	Total	Total	HOSP	5/10/20	5/16/20	19	0	3/7/24
2019-2020	Total	Total	HOSP	5/17/20	5/23/20	20	0	3/7/24
2019-2020	Total	Total	HOSP	5/24/20	5/30/20	21	0.0122	3/7/24
2019-2020	Total	Total	HOSP	5/31/20	6/6/20	22	0	3/7/24
2019-2020	Total	Total	HOSP	6/7/20	6/13/20	23	0.01131	3/7/24
2019-2020	Total	Total	HOSP	6/14/20	6/20/20	24	0	3/7/24
2019-2020	Total	Total	HOSP	6/21/20	6/27/20	25	0	3/7/24
2020-2021	Total	Total	HOSP	6/28/20	7/4/20	26	0	3/7/24
2020-2021	Total	Total	HOSP	7/5/20	7/11/20	27	0.01107	3/7/24
2020-2021	Total	Total	HOSP	7/12/20	7/18/20	28	0	3/7/24
2020-2021	Total	Total	HOSP	7/19/20	7/25/20	29	0	3/7/24
2020-2021	Total	Total	HOSP	7/26/20	8/1/20	30	0.01035	3/7/24
2020-2021	Total	Total	HOSP	8/2/20	8/8/20	31	0.01011	3/7/24
2020-2021	Total	Total	HOSP	8/9/20	8/15/20	32	0.01033	3/7/24
2020-2021	Total	Total	HOSP	8/16/20	8/22/20	33	0	3/7/24
2020-2021	Total	Total	HOSP	8/23/20	8/29/20	34	0.01025	3/7/24
2020-2021	Total	Total	HOSP	8/30/20	9/5/20	35	0	3/7/24
