Airline	Triturator	Ground handling	Source
Delta Air Lines	Swissport	None	Email by Keith Serkiz (Swissport)
JetBlue Airways	Swissport	None	Email by Keith Serkiz (Swissport)
American Airlines	American Airlines	Unknown	Email by Keith Serkiz(Swissport)
United Airlines	American Airlines	Unknown	Email by Keith Serkiz (Swissport)
Southwest Airlines	Swissport	None	Email by Keith Serkiz (Swissport)
Porter Airlines	Swissport	Swissport	Email by Michael Kisko (Swissport)
LATAM Airlines	Swissport	Swissport	Email by Michael Kisko (Swissport)
Hawaiian Airlines	Swissport	Swissport	Email by Michael Kisko (Swissport)
BermudAir	Swissport	Swissport	Email by Michael Kisko (Swissport)
Korean Air	Swissport	Swissport	Email by Michael Kisko (Swissport)
Iberia	Swissport	Swissport	Email by Michael Kisko (Swissport)
Fly Play	Swissport	Swissport	Email by Michael Kisko (Swissport)
SAS Scandinavian Airlines	Swissport	Swissport	Email by Michael Kisko (Swissport)
Qatar Airways	Swissport	Swissport	Email by Michael Kisko (Swissport)
Qatar Executive	Swissport	Swissport	Email by Michael Kisko (Swissport)
TAP Air Portugal	Swissport	Swissport	Email by Michael Kisko (Swissport)
Turkish Airlines	Swissport	Swissport	Email by Michael Kisko (Swissport)
Hainan Airlines	Swissport	Swissport	Email by Michael Kisko (Swissport)
El Al Israel Airlines	Swissport	Swissport	Email by Michael Kisko (Swissport)
Aer Lingus	Swissport	Swissport	Email by Michael Kisko (Swissport)
ITA Airways	Swissport	Swissport	Email by Michael Kisko (Swissport)
Condor	Swissport	Swissport	Email by Michael Kisko (Swissport)
British Airways	Unknown	Dnata	Call with Michael McPherson (Dnata), Call with IAG
Cape Air	None	None	Call with Cape Air representative
Emirates	Swissport	Dnata	Call with Michael McPherson (Dnata)
Lufthansa	Swissport	Dnata	Call with Michael McPherson (Dnata)
Spirit Airlines	Unknown	ATS	Call with Michael McPherson (Dnata)
Alaska	Unknown	Unknown	No source
Icelandair	Swissport	Triangle	Call with Michael McPherson (Dnata)
Allegiance	Swissport	Triangle	Call with Michael McPherson (Dnata)
Air France	Swissport	Triangle	Call with Michael McPherson (Dnata)
Copa Airlines	Swissport	Triangle	Call with Michael McPherson (Dnata)
Cathay Pacific	Swissport	Dnata	Call with Michael McPherson (Dnata)
Swiss	Swissport	Dnata	Call with Michael McPherson (Dnata)
Japan Airlines	Swissport	Dnata	Call with Michael McPherson (Dnata)
