,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Fort Myers,RSW,00:08,2023-05-22,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-21,20:53,2023-05-22,00:08,2023-05-22,23:54,2023-05-22,
1,San Francisco,SFO,00:09,2023-05-22,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],15:27,2023-05-21,15:17,2023-05-21,00:09,2023-05-22,00:12,2023-05-22,
2,Chicago,MDW,00:10,2023-05-22,['WN268'],['Southwest Airlines'],B,Landed - On-time [+],21:00,2023-05-21,21:08,2023-05-21,00:10,2023-05-22,00:11,2023-05-22,
3,Orlando,MCO,00:17,2023-05-22,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-21,23:13,2023-05-22,00:17,2023-05-22,01:54,2023-05-23,
4,Miami,MIA,00:24,2023-05-22,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-21,20:58,2023-05-21,00:24,2023-05-22,00:05,2023-05-22,
5,Nashville,BNA,00:30,2023-05-22,['WN3143'],['Southwest Airlines'],B,Landed - On-time [+],21:05,2023-05-21,21:07,2023-05-21,00:30,2023-05-22,00:26,2023-05-22,
6,Charlotte,CLT,00:44,2023-05-22,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:33,2023-05-21,22:31,2023-05-21,00:44,2023-05-22,00:31,2023-05-22,
7,Saint Louis,STL,00:45,2023-05-22,['WN931'],['Southwest Airlines'],B,Landed - On-time [+],21:10,2023-05-21,21:13,2023-05-21,00:45,2023-05-22,00:35,2023-05-22,
8,Atlanta,ATL,00:51,2023-05-22,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:17,2023-05-21,22:21,2023-05-21,00:51,2023-05-22,00:48,2023-05-22,
9,Chicago,ORD,01:00,2023-05-22,"['UA1503', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:36,2023-05-21,21:33,2023-05-21,01:00,2023-05-22,00:39,2023-05-22,
10,Denver,DEN,01:05,2023-05-22,['WN3442'],['Southwest Airlines'],B,Landed - On-time [+],19:15,2023-05-21,19:28,2023-05-21,01:05,2023-05-22,01:06,2023-05-22,
11,New York,JFK,01:23,2023-05-22,['TJ809'],['Tradewind Aviation'],,Landed - Delayed [+],00:30,2023-05-22,02:17,2023-05-22,01:23,2023-05-22,03:02,2023-05-22,
12,Las Vegas,LAS,04:29,2023-05-22,['NK1165'],['Spirit Airlines'],B,Landed - Delayed [+],20:30,2023-05-21,21:35,2023-05-21,04:29,2023-05-22,05:36,2023-05-22,
13,Cincinnati,CVG,04:31,2023-05-22,['M6588'],['Amerijet International'],,Landed - On-time [+],02:35,2023-05-22,02:49,2023-05-22,04:31,2023-05-22,04:26,2023-05-22,
14,San Francisco,SFO,04:59,2023-05-22,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:15,2023-05-21,20:13,2023-05-21,04:59,2023-05-22,04:46,2023-05-22,
15,San Diego,SAN,05:01,2023-05-22,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-05-21,20:16,2023-05-22,05:01,2023-05-22,04:41,2023-05-23,
16,Los Angeles,LAX,05:18,2023-05-22,"['AA2453', 'B64139', 'BA4746', 'FJ5005', 'JL7525', 'QF3013', 'TN1244']","['American Airlines', 'JetBlue Airways', 'British Airways', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Air Tahiti Nui']",B,Landed - On-time [+],20:45,2023-05-21,20:42,2023-05-21,05:18,2023-05-22,05:09,2023-05-22,
17,Sacramento,SMF,05:38,2023-05-22,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-05-21,23:33,2023-05-22,05:38,2023-05-22,08:17,2023-05-23,
18,Denver,DEN,05:40,2023-05-22,['B6294'],['JetBlue Airways'],C,Landed - Delayed [+],23:53,2023-05-21,00:41,2023-05-23,05:40,2023-05-22,06:28,2023-05-23,
19,Phoenix,PHX,05:40,2023-05-22,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-05-21,21:41,2023-05-21,05:40,2023-05-22,05:25,2023-05-22,
