Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Phoenix,PHX,00:02,2023-06-04,['AA1548'],['American Airlines'],B,Landed - Delayed [+],16:03,2023-06-03,15:58,2023-06-03,00:02,2023-06-04,00:29,2023-06-04,
Fort Myers,RSW,00:08,2023-06-04,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-06-03,23:53,2023-06-04,00:08,2023-06-04,02:49,2023-06-05,
Orlando,MCO,00:17,2023-06-04,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-06-03,23:22,2023-06-04,00:17,2023-06-04,02:05,2023-06-05,
Miami,MIA,00:25,2023-06-04,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - On-time [+],21:03,2023-06-03,21:03,2023-06-03,00:25,2023-06-04,00:13,2023-06-04,
Denver,DEN,00:35,2023-06-04,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],18:45,2023-06-03,19:23,2023-06-03,00:35,2023-06-04,01:37,2023-06-04,
Charlotte,CLT,00:38,2023-06-04,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - Delayed [+],22:27,2023-06-03,22:37,2023-06-03,00:38,2023-06-04,01:39,2023-06-04,
Atlanta,ATL,00:51,2023-06-04,"['DL865', 'AM3209', 'KE3682', 'KL5056', 'LA8493', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],22:17,2023-06-03,22:41,2023-06-03,00:51,2023-06-04,01:08,2023-06-04,
Chicago,ORD,01:00,2023-06-04,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - Delayed [+],21:27,2023-06-03,22:03,2023-06-03,01:00,2023-06-04,01:34,2023-06-04,
San Francisco,SFO,01:04,2023-06-04,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],16:15,2023-06-03,17:22,2023-06-03,01:04,2023-06-04,02:10,2023-06-04,
Las Vegas,LAS,04:29,2023-06-04,['NK1165'],['Spirit Airlines'],B,Landed - Delayed [+],20:30,2023-06-03,20:33,2023-06-03,04:29,2023-06-04,04:47,2023-06-04,
