Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Seattle,SEA,00:29,2023-07-20,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-07-19,15:55,2023-07-19,actual,00:29,2023-07-20,23:53,2023-07-19,actual,
Denver,DEN,00:30,2023-07-20,['WN3065'],['Southwest Airlines'],B,Landed - On-time [+],18:35,2023-07-19,18:58,2023-07-19,actual,00:30,2023-07-20,00:25,2023-07-20,actual,
Fort Lauderdale,FLL,00:31,2023-07-20,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-07-19,21:56,2023-07-19,actual,00:31,2023-07-20,00:50,2023-07-20,actual,
Charlotte,CLT,00:38,2023-07-20,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:27,2023-07-19,22:24,2023-07-19,actual,00:38,2023-07-20,00:18,2023-07-20,actual,
Minneapolis,MSP,00:41,2023-07-20,"['DL1246', 'AM3900', 'KE3993', 'KL5800', 'WS7864']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - On-time [+],20:45,2023-07-19,20:41,2023-07-19,actual,00:41,2023-07-20,00:24,2023-07-20,actual,
Miami,MIA,00:42,2023-07-20,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - On-time [+],21:10,2023-07-19,21:45,2023-07-19,actual,00:42,2023-07-20,00:43,2023-07-20,actual,
Detroit,DTW,00:59,2023-07-20,"['DL1279', 'AM3429', 'VS3112', 'WS7211']","['Delta Air Lines', 'Aeromexico', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],23:01,2023-07-19,22:58,2023-07-19,actual,00:59,2023-07-20,00:37,2023-07-20,actual,
Chicago,ORD,00:59,2023-07-20,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:26,2023-07-19,21:24,2023-07-19,actual,00:59,2023-07-20,00:39,2023-07-20,actual,
San Francisco,SFO,01:04,2023-07-20,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-07-19,16:11,2023-07-19,actual,01:04,2023-07-20,00:27,2023-07-20,actual,
Atlanta,ATL,01:22,2023-07-20,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'LA5737', 'VS3634', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],22:41,2023-07-19,23:54,2023-07-19,actual,01:22,2023-07-20,02:20,2023-07-20,actual,
Chicago,MDW,01:50,2023-07-20,['WN5889'],['Southwest Airlines'],B,Landed - Delayed [+],22:40,2023-07-19,23:08,2023-07-19,actual,01:50,2023-07-20,02:17,2023-07-20,actual,
New York,JFK,02:12,2023-07-20,['B68366'],['JetBlue Airways'],,Landed - Delayed [+],01:30,2023-07-20,05:38,2023-07-20,actual,02:12,2023-07-20,06:13,2023-07-20,actual,
Louisville,SDF,04:26,2023-07-20,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-07-20,02:41,2023-07-20,actual,04:26,2023-07-20,04:26,2023-07-20,actual,
Philadelphia,PHL,04:29,2023-07-20,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-07-20,03:37,2023-07-20,actual,04:29,2023-07-20,04:23,2023-07-20,actual,
San Diego,SAN,04:39,2023-07-20,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - On-time [+],20:10,2023-07-19,20:10,2023-07-19,actual,04:39,2023-07-20,04:25,2023-07-20,actual,
Vancouver,YVR,04:48,2023-07-20,"['AC532', 'UA8609']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],20:25,2023-07-19,20:50,2023-07-19,actual,04:48,2023-07-20,04:50,2023-07-20,actual,
Newark,EWR,04:55,2023-07-20,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-07-20,04:12,2023-07-20,actual,04:55,2023-07-20,04:51,2023-07-20,actual,
Denver,DEN,05:00,2023-07-20,['B6594'],['JetBlue Airways'],C,Landed - On-time [+],23:10,2023-07-19,23:34,2023-07-19,actual,05:00,2023-07-20,05:00,2023-07-20,actual,
Phoenix,PHX,05:00,2023-07-20,['AA2701'],['American Airlines'],B,Landed - Delayed [+],20:56,2023-07-19,07:56,2023-07-20,actual,05:00,2023-07-20,15:49,2023-07-20,actual,
Salt Lake City,SLC,05:00,2023-07-20,['B6348'],['JetBlue Airways'],C,Landed - On-time [+],22:31,2023-07-19,22:29,2023-07-19,actual,05:00,2023-07-20,04:37,2023-07-20,actual,
San Francisco,SFO,05:02,2023-07-20,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:20,2023-07-19,20:22,2023-07-19,actual,05:02,2023-07-20,04:37,2023-07-20,actual,
Phoenix,PHX,05:11,2023-07-20,['AA701R'],['American Airlines'],,Landed - Delayed [+],21:45,2023-07-19,08:15,2023-07-20,actual,05:11,2023-07-20,15:41,2023-07-20,actual,
Seattle,SEA,05:23,2023-07-20,"['B6498', 'AA9217', 'HA2114']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],21:10,2023-07-19,21:07,2023-07-19,actual,05:23,2023-07-20,05:14,2023-07-20,actual,
Los Angeles,LAX,05:35,2023-07-20,"['B6388', 'AA9133', 'FI7866', 'HA2314']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines']",C,Landed - On-time [+],20:59,2023-07-19,20:56,2023-07-19,actual,05:35,2023-07-20,05:19,2023-07-20,actual,
Sacramento,SMF,05:43,2023-07-20,['B6916'],['JetBlue Airways'],C,Landed - On-time [+],21:20,2023-07-19,21:33,2023-07-19,actual,05:43,2023-07-20,05:33,2023-07-20,actual,
Los Angeles,LAX,05:45,2023-07-20,"['DL729', 'AF2445', 'KE7395', 'LA6266', 'VS2204']","['Delta Air Lines', 'Air France', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],21:00,2023-07-19,20:58,2023-07-19,actual,05:45,2023-07-20,05:06,2023-07-20,actual,
Louisville,SDF,05:45,2023-07-20,['5X1014'],['UPS'],,Landed - On-time [+],03:54,2023-07-20,04:11,2023-07-20,actual,05:45,2023-07-20,05:56,2023-07-20,actual,
San Francisco,SFO,05:45,2023-07-20,"['AS546', 'AA7499', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - On-time [+],21:00,2023-07-19,20:55,2023-07-19,actual,05:45,2023-07-20,05:06,2023-07-20,actual,
Seattle,SEA,05:47,2023-07-20,['AS536'],['Alaska Airlines'],B,Landed - Delayed [+],21:35,2023-07-19,22:00,2023-07-19,actual,05:47,2023-07-20,06:28,2023-07-20,actual,
Denver,DEN,06:00,2023-07-20,['UA541'],['United Airlines'],B,Landed - On-time [+],23:59,2023-07-19,23:52,2023-07-19,actual,06:00,2023-07-20,05:35,2023-07-20,actual,
San Diego,SAN,06:00,2023-07-20,['DL439'],['Delta Air Lines'],A,Landed - On-time [+],21:14,2023-07-19,21:51,2023-07-19,actual,06:00,2023-07-20,05:56,2023-07-20,actual,
Indianapolis,IND,06:02,2023-07-20,['FX1710'],['FedEx'],,Landed - On-time [+],04:15,2023-07-20,04:35,2023-07-20,actual,06:02,2023-07-20,06:10,2023-07-20,actual,
Memphis,MEM,06:05,2023-07-20,['FX1406'],['FedEx'],,Landed - On-time [+],02:36,2023-07-20,03:04,2023-07-20,actual,06:05,2023-07-20,06:18,2023-07-20,actual,
Portsmouth,PSM,06:06,2023-07-20,['CNS427'],['PlaneSense'],,Landed - On-time [+],05:43,2023-07-20,05:58,2023-07-20,actual,06:06,2023-07-20,06:16,2023-07-20,actual,
Vancouver,YVR,06:12,2023-07-20,['B650'],['JetBlue Airways'],C,Landed - Delayed [+],21:55,2023-07-19,21:53,2023-07-19,actual,06:12,2023-07-20,06:30,2023-07-20,actual,
Phoenix,PHX,06:17,2023-07-20,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:22,2023-07-19,00:45,2023-07-20,actual,06:17,2023-07-20,08:19,2023-07-20,actual,
Honolulu,HNL,06:20,2023-07-20,"['HA90', 'B65816']","['Hawaiian Airlines', 'JetBlue Airways']",E,Landed - On-time [+],14:35,2023-07-19,14:53,2023-07-19,actual,06:20,2023-07-20,06:11,2023-07-20,actual,
Las Vegas,LAS,06:22,2023-07-20,"['B6778', 'EI5165', 'HA2178', 'TP4318']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],22:20,2023-07-19,22:33,2023-07-19,actual,06:22,2023-07-20,06:18,2023-07-20,actual,
San Francisco,SFO,06:32,2023-07-20,"['B634', 'AA9324', 'FI7830', 'HA2358', 'JL5892', 'TP4394']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],21:55,2023-07-19,21:42,2023-07-19,actual,06:32,2023-07-20,05:57,2023-07-20,actual,
Bogota,BOG,06:35,2023-07-20,['AV228'],['Avianca'],E,Landed - On-time [+],23:10,2023-07-19,23:10,2023-07-19,actual,06:35,2023-07-20,06:05,2023-07-20,actual,
