LIR	Costa Rica
SUS	MO
OSU	OH
FAB	United Kingdom
FXE	FL
OCF	FL
BFI	WA
MIV	NJ
QRO	Mexico
SFM	ME
YHU	Canada
UGN	IL
DXR	CT
GAI	MD
PYM	MA
NUQ	CA
INT	NC
SGR	TX
YIP	MI
MKC	MO
PIE	FL
OCE	MD
KJWN	TN
YQA	Canada
SSI	GA
CRE	SC
BAF	MA
WWD	NJ
FID	CT
GFL	NY
MTP	NY
ISS	ME
NEW	LA
LEW	ME
TLC	Mexico
KGHG	MA
MSV	NY
LAL	FL
ADS	TX
KPJC	PA
WVL	ME
BTP	PA
SFB	FL
BBX	PA
KJVY	IN
FA54	FL
FTW	TX
APC	CA
EEN	NH
BJC	CO
FCM	MN
KJYO	VA
CON	NH
UUU	RI
FDK	MD
GED	DE
MJX	NJ
FTY	GA
KHCR	UT
KRYY	GA
ART	NY
YGK	Canada
MQY	TN
ENW	WI
NHT	United Kingdom
MNZ	VA
PGD	FL
BCB	VA
KJQF	NC
THV	PA
STP	MN
UST	FL
OCA	FL
SCH	NY
SOP	NC
CEU	SC
KGVQ	NY
KCQX	MA
BGM	NY
HUL	ME
LKP	NY
LWM	MA
JVL	WI
GBR	MA
BJJ	OH
SBM	WI
PBG	NY
GVL	GA
DPA	IL
KMQJ	IN
RIL	CO
YTM	Canada
ECP	FL
KAAO	KS
SEG	PA
KEPM	ME
XNA	AR
ZBM	Canada
KTTA	NC
YNG	OH
RKH	SC
WST	RI
PCT	NJ
CPS	IL
KHDC	LA
KMGY	OH
KUAO	OR
CXO	TX
KFME	MD
MRN	NC
KLZU	GA
MEO	NC
YYG	Canada
KONX	NC
YPQ	Canada
BID	RI
YOO	Canada
29D	PA
ROG	AR
YPD	Canada
UES	WI
XCM	Canada
LBF	NE
TMB	FL
ISW	WI
DWH	TX
RMN	VA
HFD	CT
T82	TX
MPV	VT
SLN	KS
MDD	TX
RME	NY
VNC	FL
PMP	FL
HWD	CA
KTYQ	IN
YND	Canada
KFFC	GA
DLN	MT
AEY	Iceland
COU	MO
MBO	MS
YRQ	Canada
SFZ	RI
CNY3	Canada
27K	IN
OGS	NY
YKZ	Canada
LPO	IN
HSP	VA
1B9	MA
HGR	MD
FHB	FL
KFVX	VA
4I3	OH
EFT	WI
KDDH	VT
CGI	MO
MRH	NC
N12	NJ
YBC	Canada
LCK	OH
KPCW	OH
ISM	FL
TAN	MA
ZZV	OH
POX	France
CEF	MA
KGEU	AZ
AXN	MN
KLUG	TN
SAA	WY
ASH	NH
KAQW	MA
RED	PA
8B0	ME
GGE	SC
EDE	NC
JEF	MO
6B0	VT
MGJ	NY
YQY	Canada
NYS	NY
LVK	CA
YYB	Canada
CYSN	Canada
ASG	AR
MLT	ME
VDF	FL
KFDW	SC
LOM	Mexico
N94	PA
EFK	VT
KVTA	OH
YAM	Canada
EKX	KY
1A5	NC
KCVX	MI
KBST	ME
CRG	FL
LNN	OH
AFW	TX
C29	WI
HCC	NY
YSB	Canada
PBF	AR
MVM	AZ
ACB	MI
SEF	FL
MWA	IL
KMBT	TN
YCH	Canada
SUE	WI
GSH	IN
MPO	PA
GYY	IN
CLU	IN
LEE	FL
KPVG	VA
BUY	NC
DSI	FL
DKK	NY
S24	WA
W00	MD
ONH	NY
WSG	PA
AOH	OH
BKG	MO
OZS	MO
OLV	MS
PNN	ME
SGH	OH
SJS	MT
SBD	CA
KPTD	ME
KLCQ	FL
SDM	CA
AWM	AR
KBIV	MI
KHMZ	PA
SAF	NM
KSMQ	NJ
KDLZ	OH
WGO	VA
PPM	FL
KTME	TX
HQU	GA
GUF	AL
CAT	Bahamas
KDMW	MD
GMU	SC
HLG	WV
KLPR	OH
VCV	CA
DRI	LA
POB	NC
KLHM	CA
DIK	ND
BBU	Romania
KCNI	GA
NPT	RI
PHN	MI
RVS	OK
F45	FL
KMRH	NC
57B	ME
AZA	AZ
KVPC	GA
MRK	FL
OQN	PA
KCMA	CA
STC	MN
SVH	NC
CIW	Saint Vincent and the Grenadines
KHRJ	NC
MCO	FL
BHB	ME
PVC	MA
TEB	NJ
RUT	VT
MSS	NY
SLK	NY
STI	Dominican Republic
BED	MA
PSM	NH
FOK	NY
FRG	NY
MMU	NJ
PWK	IL
BLM	NJ
PLS	Turks and Caicos Islands
LCI	NH
BVY	MA
OPF	FL
OXC	CT
OWD	MA
BCT	FL
VNY	CA
CGF	OH
PDK	GA
KJZI	SC
PTK	MI
KOQU	RI
PSF	MA
ILG	DE
5B2	NY
NHZ	ME
APA	CO
AGC	PA
LUK	OH
CTH	PA
PNE	PA
MVL	VT
MTN	MD
CDW	NJ
ESN	MD
EWB	MA
SUA	FL
JPX	NY
