qPCR target 	RT-PCR kit    	extraction kit 	PCR instrument 	mean_2_e3 	sd_2_e3 	n_labs_2_e3 	mean_1_e3 	sd_1_e3 	n_labs_1_e3 	mean_5_e2 	sd_5_e2 	n_labs_5_e2 	mean_2_e2 	sd_2_e2 	n_labs_2_e2
ORF1ab      	BioGerm       	various        	various        	    32.2  	 1.655  	        394 	    33.14 	 1.651  	        392 	    34.2  	 1.741  	        394 	    35.39 	 1.758  	        318
ORF1ab      	DaAn          	various        	various        	    33.41 	 2.085  	        119 	    34.5  	 2.004  	        119 	    35.46 	 2.102  	        119 	    36.63 	 1.963  	        100
ORF1ab      	Kinghawk      	various        	various        	    33.59 	 2.025  	         41 	    34.78 	 2.231  	         41 	    35.0  	 1.806  	         39 	    35.47 	 1.542  	         34
ORF1ab      	Maccura       	various        	various        	    30.77 	 1.166  	         13 	    31.77 	 1.092  	         13 	    32.62 	 1.261  	         13 	    34.27 	 1.191  	         11
ORF1ab      	EasyDiagnosis 	various        	various        	    32.38 	 2.003  	         63 	    33.22 	 2.549  	         63 	    34.21 	 1.752  	         63 	    35.45 	 1.572  	         47
ORF1ab      	Sansure       	various        	various        	    33.25 	 1.467  	         57 	    34.18 	 1.539  	         56 	    35.11 	 1.555  	         57 	    36.6  	 1.483  	         42
ORF1ab      	Bioperfectus  	various        	various        	    32.84 	 1.89   	         83 	    33.9  	 1.785  	         83 	    34.88 	 1.978  	         83 	    35.77 	 1.569  	         65
ORF1ab      	Zybio         	various        	various        	    30.91 	 2.454  	         67 	    31.73 	 2.403  	         67 	    32.72 	 2.295  	         67 	    33.61 	 2.474  	         51
ORF1ab      	ABT           	various        	various        	    32.0  	 2.194  	         97 	    33.0  	 2.005  	         97 	    33.86 	 2.116  	         97 	    34.94 	 2.108  	         79
N           	BioGerm       	various        	various        	    33.13 	 1.632  	        394 	    34.01 	 1.608  	        393 	    34.8  	 1.619  	        394 	    35.79 	 1.59   	        318
N           	DaAn          	various        	various        	    34.81 	 2.293  	        119 	    35.75 	 2.128  	        119 	    36.48 	 2.107  	        119 	    37.42 	 1.602  	         95
