Fig.6 of Size, concentration, and origin of human exhaled particles and their dependence on human factors with implications on infection transmission Extracted using https://apps.automeris.io/wpd/
Aerosol diameter (um)	dN/dLogD0(cm-3)	Activity
0.05279913596	0.4715507183	Breathing
0.07081424991	0.3151335531	Breathing
0.09363053984	0.7453096695	Breathing
0.1272565737	1.036029971	Breathing
0.1671868083	1.020388845	Breathing
0.216677219	0.9353894909	Breathing
0.2965980417	0.7113185659	Breathing
0.3896610355	0.7107134646	Breathing
0.5332389768	0.9462585553	Breathing
0.6957792293	0.9730238597	Breathing
0.933060627	0.8420851533	Breathing
1.242692679	0.8058549574	Breathing
1.514947554	0.4871843925	Breathing
1.911248399	0.2116568299	Breathing
2.378018646	0.1435281803	Breathing
2.918955551	0.08075684511	Breathing
3.70682587	0.05799687308	Breathing
4.643064894	0.05166584438	Breathing
5.700493568	0.01862508254	Breathing
6.947905747	0.01732387998	Breathing
8.82300046	0.01317705821	Breathing
11.36177804	0.005176909271	Breathing
13.851362	0.002955010138	Breathing
17.5874349	0.00286920476	Breathing
26.84804391	0.002784291038	Breathing
21.44239645	0.0014600033	Breathing
32.74489698	0.0006714011805	Breathing
42.44973611	0.0003515323252	Breathing
0.05313307398	1.345306768	Speaking (normal)
0.07371982637	1.363373417	Speaking (normal)
0.09423809417	1.528193358	Speaking (normal)
0.1263339682	2.597470195	Speaking (normal)
0.1705604719	2.748476799	Speaking (normal)
0.2136149664	3.080940288	Speaking (normal)
0.3004511658	3.167344568	Speaking (normal)
0.3920059572	3.759924644	Speaking (normal)
0.5291928381	4.72677395	Speaking (normal)
0.7194538431	3.646554823	Speaking (normal)
0.9199456453	2.368315902	Speaking (normal)
1.250499109	2.505947068	Speaking (normal)
1.545605378	1.169832312	Speaking (normal)
1.897486115	0.4799007516	Speaking (normal)
2.459526197	0.3300942029	Speaking (normal)
2.977836053	0.2206697145	Speaking (normal)
3.654956477	0.1433359262	Speaking (normal)
4.484995333	0.1495508563	Speaking (normal)
5.658603344	0.0570945536	Speaking (normal)
6.943472465	0.06309233374	Speaking (normal)
8.698368578	0.04278309938	Speaking (normal)
10.53090214	0.03162541186	Speaking (normal)
11.58348717	0.0522639686	Speaking (normal)
12.83141629	0.05454749754	Speaking (normal)
15.85310252	0.05773463892	Speaking (normal)
19.05408557	0.103969181	Speaking (normal)
21.39348608	0.1488239882	Speaking (normal)
26.97534543	0.1925861552	Speaking (normal)
29.2786026	0.1691924737	Speaking (normal)
33.0974428	0.2565004782	Speaking (normal)
35.6817054	0.1952015392	Speaking (normal)
42.02379059	0.2600170305	Speaking (normal)
19.32613669	0.03540869775	Speaking (normal)
24.5258501	0.100945906	Speaking (normal)
45.60676565	0.2874418668	Speaking (normal)
39.52105378	0.2600668242	Speaking (normal)
52.99665263	0.245323736	Speaking (normal)
64.16584687	0.159356717	Speaking (normal)
70.11985162	0.1461598736	Speaking (normal)
75.08244798	0.1065421386	Speaking (normal)
82.59587704	0.1419490095	Speaking (normal)
89.67175297	0.07330249507	Speaking (normal)
97.33793089	0.05266917464	Speaking (normal)
110.1134491	0.0184538946	Speaking (normal)
133.2795191	0.02222851863	Speaking (normal)
145.6135918	0.03228143356	Speaking (normal)
220.9500247	0.006271470234	Speaking (normal)
308.6068368	0.008843109127	Speaking (normal)
116.34656	0.006948595623	Speaking (normal)
449.4292746	0.002257253204	Speaking (normal)
619.7411764	0.0005846103607	Speaking (normal)
798.1820398	0.0001723369015	Speaking (normal)
