Source: https://docs.google.com/spreadsheets/d/1YP4mxT_vxiFwXU5ZuBM4obq_oscfhe05ODWwHFHEznM/
Tu et al. 2020, Nasopharyngeal	Muller et al. 2021, Nasopharyngeal
-2.873407134	10.32789693
-4.650824108	8.617541333
-2.253480935	8.531650166
-1.933677737	8.213593232
2.111586716	7.154934521
2.610184502	6.959193677
4.64698647	4.366942219
-2.990701107	2.49145506
-4.27798278	3.026669652
-5.783124231	3.100372782
-6.719606396	3.321203796
-5.048462485	2.739936095
-4.301795818	2.62994723
-3.573923739	1.133475346
-1.560442804	1.84882961
-1.181303813	2.157536734
-0.4582533825	1.232129457
-0.4065928659	-1.069418557
-2.043198032	-0.8273280724
-5.096678967	-1.533889279
-6.56895449	-0.9700503498
-6.773825338	-1.212280022
-11.04806888	-2.589969984
-5.121574416	-0.8957723125
-4.562164822	0.6083609692
-2.757097171	-0.1103882743
-3.430159902	0.05613516981
-3.022287823	-0.4199668369
-3.801623616	0.04224056547
-3.020615006	1.709223936
-1.014809348	1.548776355
1.013726937	1.308670814
1.531119311	1.136035196
1.07896679	2.41366101
2.842706027	2.876860885
-0.2639114391	3.474425698
-2.365461255	3.865907385
-4.558622386	4.245340224
-4.312816728	5.106115805
-5.761574416	5.445153833
-5.093923739	6.045417685
-4.487380074	6.390410544
-3.36196802	7.111998015
-1.50602706	7.106618092
0.5347109471	6.513301542
-0.1694464945	6.143079325
-3.058400984	5.473221418
-3.892546125	5.256221103
	5.059487788
	4.819382247
	4.340024449
	2.870627678
	2.6183341
	1.788742708
	1.272106703
	0.3768911428
	0.7955871318
	0.798564547
	1.580674639
	2.446412578
	2.193265716
	2.527341386
	2.614085837
	2.893593716
	4.494238823
	4.334783714
	4.591047179
	5.109668127
	5.427446685
	6.081285856
	6.492895355
	6.826414272
	8.242671443
	2.190167268
	2.348769093
	2.690923725
	2.22998717
	1.791163371
	0.9061509041
	0.9476773741
	0.6379777783
	1.399820871
	1.530930019
	1.959829101
	2.12523904
	2.505664351
	2.502686936
	4.111985912
	4.000151291
	4.086042458
	4.04068529
	4.216298322
	4.565400257
	5.103295732
	4.905569945
	4.361719639
	3.920771707
	3.425255985
	4.360866355
	3.956204159
	3.725170052
	3.667624846
	3.380038004
