location	b	ra_at_1in100	pathogen	tidy_name	taxids	predictor_type	study
Overall	-0.880142295715147	2.0659573388763078e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2177177261652636	4.0069008886637523e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.5864650600308623	1.0194579471508264e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.6609996575303652	9.462357550056241e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.36092922157206	1.277374595576971e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2177177261652636	4.0069008886637523e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.353580517461247	1.2867962182693422e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.0898216357217449	4.553581802309405e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.8124884796403062	2.991673132819223e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2177177261652636	4.0069008886637523e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.078717371195591	6.231417799921547e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2225478065756381	3.987593907563605e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.3552501173858773	4.7259620656786335e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2177177261652636	4.0069008886637523e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.2756987283292687	5.1172773863949295e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4662499028857375	3.125161645007447e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-3.557938505415572	1.4196108674303712e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2177177261652636	4.0069008886637523e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.789429019609994	3.0614610410944455e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3250721546901779	3.5990276403002965e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.8791702075429666	2.7986889660525e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2177177261652636	4.0069008886637523e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.1981016269580391	1.5032575394694474e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
