RepWeekDate	TestType	RAdenopos	RAdenotest		Directory
3/6/2023	1	0	0		
3/6/2023	2	0	0		
3/6/2023	4	35	265		
10/6/2023	1	0	0		
10/6/2023	2	0	0		
10/6/2023	4	24	281		
17/6/2023	1	0	0		
17/6/2023	2	0	0		
17/6/2023	4	31	266		
24/6/2023	1	0	0		
24/6/2023	2	0	0		
24/6/2023	4	25	227		
1/7/2023	1	0	0		
1/7/2023	2	0	0		
1/7/2023	4	28	234		
8/7/2023	1	0	0		
8/7/2023	2	0	0		
8/7/2023	4	27	233		
15/7/2023	1	0	0		
15/7/2023	2	0	0		
15/7/2023	4	16	212		
22/7/2023	1	0	0		
22/7/2023	2	0	0		
22/7/2023	4	11	166		
29/7/2023	1	0	0		
29/7/2023	2	0	0		
29/7/2023	4	17	204		
5/8/2023	1	0	0		
5/8/2023	2	0	0		
5/8/2023	4	20	243		
12/8/2023	1	0	0		
12/8/2023	2	0	0		
12/8/2023	4	19	242		
19/8/2023	1	0	0		
19/8/2023	2	0	0		
19/8/2023	4	17	269		
26/8/2023	1	0	0		
26/8/2023	2	0	0		
26/8/2023	4	8	221		
2/9/2023	1	0	0		
2/9/2023	2	0	0		
2/9/2023	4	4	225		
9/9/2023	1	0	0		
9/9/2023	2	0	0		
9/9/2023	4	5	259		
16/9/2023	1	0	0		
16/9/2023	2	0	0		
16/9/2023	4	8	242		
23/9/2023	1	0	0		
23/9/2023	2	0	0		
23/9/2023	4	7	305		
30/9/2023	1	0	0		
30/9/2023	2	0	0		
30/9/2023	4	7	330		
7/10/2023	1	0	0		
7/10/2023	2	0	0		
7/10/2023	4	7	349		
14/10/2023	1	0	0		
14/10/2023	2	0	0		
14/10/2023	4	7	322		
21/10/2023	1	0	0		
21/10/2023	2	0	0		
21/10/2023	4	11	378		
28/10/2023	1	0	0		
28/10/2023	2	0	0		
28/10/2023	4	20	372		
4/11/2023	1	0	0		
4/11/2023	2	0	0		
4/11/2023	4	18	392		
11/11/2023	1	0	0		
11/11/2023	2	0	0		
11/11/2023	4	17	407		
18/11/2023	1	0	0		
18/11/2023	2	0	0		
18/11/2023	4	18	450		
25/11/2023	1	0	0		
25/11/2023	2	0	0		
25/11/2023	4	12	360		
2/12/2023	1	0	0		
2/12/2023	2	0	0		
2/12/2023	4	6	428		
9/12/2023	1	0	0		
9/12/2023	2	0	0		
9/12/2023	4	18	422		
16/12/2023	1	0	0		
16/12/2023	2	0	0		
16/12/2023	4	12	438		
23/12/2023	1	0	0		
23/12/2023	2	0	0		
23/12/2023	4	21	435		
30/12/2023	1	0	0		
30/12/2023	2	0	0		
30/12/2023	4	25	385		
