RepWeekDate	TestType	Rhinopos	Rhinotest		Directory
3/6/2023	4	70	265		
10/6/2023	4	63	282		
17/6/2023	4	62	266		
24/6/2023	4	45	227		
1/7/2023	4	51	232		
8/7/2023	4	39	233		
15/7/2023	4	36	210		
22/7/2023	4	27	167		
29/7/2023	4	40	204		
5/8/2023	4	46	243		
12/8/2023	4	43	241		
19/8/2023	4	58	269		
26/8/2023	4	44	221		
2/9/2023	4	50	230		
9/9/2023	4	48	258		
16/9/2023	4	66	240		
23/9/2023	4	82	306		
30/9/2023	4	131	331		
7/10/2023	4	120	351		
14/10/2023	4	116	323		
21/10/2023	4	126	380		
28/10/2023	4	101	372		
4/11/2023	4	134	393		
11/11/2023	4	81	404		
18/11/2023	4	112	449		
25/11/2023	4	77	359		
2/12/2023	4	73	428		
9/12/2023	4	82	422		
16/12/2023	4	93	438		
23/12/2023	4	72	433		
30/12/2023	4	59	385		
