Week Start Date	Week End Date	Confirmed deaths	Probable deaths	Confirmed and probable deaths	Confirmed cases	Probable cases	Confirmed and probable cases	Last updated
1/8/23	1/14/23	132	47	179	7075	1647	8722	3/7/24
10/17/21	10/23/21	79	4	83	8163	699	8862	3/7/24
11/22/20	11/28/20	153	15	168	18177	1000	19177	3/7/24
10/3/21	10/9/21	85	2	87	9316	748	10064	3/7/24
4/5/20	4/11/20	654	23	677	12145	30	12175	3/7/24
4/25/21	5/1/21	74	2	76	7105	923	8028	3/7/24
1/23/22	1/29/22	417	47	464	38984	4816	43800	3/7/24
4/18/21	4/24/21	67	1	68	8463	1109	9572	3/7/24
3/19/23	3/25/23	54	9	63	1940	542	2482	3/7/24
5/8/22	5/14/22	66	15	81	27609	4165	31774	3/7/24
1/17/21	1/23/21	396	29	425	26694	2110	28804	3/7/24
7/30/23	8/5/23	2	0	2	1234	505	1739	3/7/24
6/20/21	6/26/21	12	0	12	461	66	527	3/7/24
8/28/22	9/3/22	69	10	79	7205	1019	8224	3/7/24
4/4/21	4/10/21	70	3	73	13050	1417	14467	3/7/24
7/16/23	7/22/23	9	0	9	864	282	1146	3/7/24
2/5/23	2/11/23	105	26	131	4412	1101	5513	3/7/24
10/9/22	10/15/22	85	15	100	7389	1245	8634	3/7/24
8/27/23	9/2/23	22	2	24	2410	990	3400	3/7/24
3/26/23	4/1/23	33	7	40	1784	443	2227	3/7/24
11/12/23	11/18/23	17	2	19	1970	853	2823	3/7/24
12/17/23	12/23/23	27	5	32	5155	1404	6559	3/7/24
4/26/20	5/2/20	1081	48	1129	12397	48	12445	3/7/24
3/6/22	3/12/22	53	8	61	4253	455	4708	3/7/24
7/10/22	7/16/22	51	11	62	10137	1318	11455	3/7/24
3/27/22	4/2/22	37	3	40	8240	831	9071	3/7/24
2/12/23	2/18/23	89	19	108	4055	1058	5113	3/7/24
6/19/22	6/25/22	58	7	65	9443	1007	10450	3/7/24
6/7/20	6/13/20	194	5	199	1665	59	1724	3/7/24
2/11/24	2/17/24	20	4	24	2034	546	2580	3/7/24
1/21/24	1/27/24	30	2	32	3300	844	4144	3/7/24
11/21/21	11/27/21	95	8	103	16375	1479	17854	3/7/24
7/18/21	7/24/21	29	0	29	3353	376	3729	3/7/24
5/10/20	5/16/20	783	38	821	7490	40	7530	3/7/24
5/28/23	6/3/23	8	1	9	792	254	1046	3/7/24
2/26/23	3/4/23	62	20	82	2615	630	3245	3/7/24
8/20/23	8/26/23	15	4	19	2106	904	3010	3/7/24
3/29/20	4/4/20	234	9	243	8284	11	8295	3/7/24
7/19/20	7/25/20	37	1	38	1529	178	1707	3/7/24
10/24/21	10/30/21	69	5	74	7951	699	8650	3/7/24
8/30/20	9/5/20	19	3	22	2358	91	2449	3/7/24
10/2/22	10/8/22	79	21	100	8117	1338	9455	3/7/24
8/22/21	8/28/21	51	7	58	10091	790	10881	3/7/24
9/20/20	9/26/20	28	0	28	3135	177	3312	3/7/24
2/25/24	3/2/24	10	2	12	1296	337	1633	3/7/24
1/30/22	2/5/22	359	23	382	22246	2621	24867	3/7/24
2/4/24	2/10/24	35	3	38	2507	729	3236	3/7/24
4/2/23	4/8/23	17	2	19	1568	390	1958	3/7/24
8/2/20	8/8/20	31	1	32	1921	117	2038	3/7/24
5/30/21	6/5/21	33	1	34	941	125	1066	3/7/24
6/13/21	6/19/21	23	1	24	506	88	594	3/7/24
5/24/20	5/30/20	404	10	414	3478	96	3574	3/7/24
12/25/22	12/31/22	127	31	158	9787	1984	11771	3/7/24
7/31/22	8/6/22	62	12	74	9053	1105	10158	3/7/24
1/7/24	1/13/24	50	2	52	4576	1335	5911	3/7/24
3/1/20	3/7/20	0	0	0	70	0	70	3/7/24
8/29/21	9/4/21	71	4	75	10842	859	11701	3/7/24
8/7/22	8/13/22	70	22	92	8438	1096	9534	3/7/24
6/12/22	6/18/22	73	17	90	9388	1220	10608	3/7/24
4/10/22	4/16/22	30	7	37	14199	1371	15570	3/7/24
12/11/22	12/17/22	99	23	122	8903	1669	10572	3/7/24
10/18/20	10/24/20	60	3	63	7063	409	7472	3/7/24
8/14/22	8/20/22	69	15	84	8027	1045	9072	3/7/24
