Term or Abbreviation	Definition			
ILI	Influenza-like illness			
ILI visit	"Influenza-like illness (ILI) is defined as fever (temperature of 100 deg F or greater) in addition to cough and/or sore throat. Many more people are infected with influenza than are tested for influenza. ILI is used throughout the regular influenza season to help track influenza activity in individuals who are not tested, as trends in ILI have been shown to mirror influenza trends.  One hundred and five healthcare facilities called ‘sentinel sites’ report the number of patients they see with ILI each week during regular flu season to MDPH. Sentinel sites include provider offices, school health services, community health centers, urgent care centers, and emergency departments across MA. Data reported by emergency departments provide information about ED visits that include diagnostic codes (influenza diagnosis code) as well as terms indicative of ILI. The CDC uses trends from past years to determine a region-specific baseline rate of ILI visits, which for Massachusetts is 1.9%. A rate above this regional baseline indicates higher than normal levels of ILI in the state."			
Hospitalization	"As part of the National Syndromic Surveillance Program, MDPH receives data from Emergency Departments (EDs) covering 100% of ED visits statewide. These data are used to track patient visits related to influenza by monitoring the diagnoses the patients receive (ICD-10 code) and hospitalizations are those vists where the patient is admitted to the hospital."			
Influenza	"also known as ""flu"""			
Type A 2009 H1N1	"a strain of H1N1 flu, commonly known as swine flu. H1N1 is an influenza A subtype."			
Seasonal type A/ H3N2	An influenza A subtype 			
H3N2v	An influenza A H3N2 variant			
Type B Yamagata lineage	An influenza B subtype			
"Type B, Victoria lineage"	An influenza B subtype			
HOSP	"hospitalization: for influenza surveillance, the number of hospitalizations associated with influenza is tracked."			
"Type A, unsubtyped"	Influenza A which is unable to be further subtyped			
Type B	Influenza B			
Type A(H1)	"Influenza A , subtype H1"			
Type A(H3)	"Influenza A, subtype H3"			
Unsat	specimen is unsatisfactory for testing			
