Season	MMWR week	Week Start Date	Week End Date	Weekly influenza pediatric deaths	Weekly influenza adult deaths	Total weekly influenza deaths	Cumulative pediatric deaths	Cumulative adult deaths	Total cumulative influenza deaths	Last updated
2023-2024	27	7/2/23	7/8/23	0	0	0	0	0	0	3/7/24
2023-2024	28	7/9/23	7/15/23	0	0	0	0	0	0	3/7/24
2023-2024	29	7/16/23	7/22/23	0	1	1	0	1	1	3/7/24
2023-2024	30	7/23/23	7/29/23	0	0	0	0	1	1	3/7/24
2023-2024	31	7/30/23	8/5/23	0	1	1	0	2	2	3/7/24
2023-2024	32	8/6/23	8/12/23	0	0	0	0	2	2	3/7/24
2023-2024	33	8/13/23	8/19/23	0	0	0	0	2	2	3/7/24
2023-2024	34	8/20/23	8/26/23	0	0	0	0	2	2	3/7/24
2023-2024	35	8/27/23	9/2/23	0	1	1	0	3	3	3/7/24
2023-2024	36	9/3/23	9/9/23	0	0	0	0	3	3	3/7/24
2023-2024	37	9/10/23	9/16/23	0	0	0	0	3	3	3/7/24
2023-2024	38	9/17/23	9/23/23	0	0	0	0	3	3	3/7/24
2023-2024	39	9/24/23	9/30/23	0	0	0	0	3	3	3/7/24
2023-2024	40	10/1/23	10/7/23	0	2	2	0	5	5	3/7/24
2023-2024	41	10/8/23	10/14/23	0	0	0	0	5	5	3/7/24
2023-2024	42	10/15/23	10/21/23	0	1	1	0	6	6	3/7/24
2023-2024	43	10/22/23	10/28/23	0	1	1	0	7	7	3/7/24
2023-2024	44	10/29/23	11/4/23	0	0	0	0	7	7	3/7/24
2023-2024	45	11/5/23	11/11/23	0	0	0	0	7	7	3/7/24
2023-2024	46	11/12/23	11/18/23	0	0	0	0	7	7	3/7/24
2023-2024	47	11/19/23	11/25/23	0	3	3	0	10	10	3/7/24
2023-2024	48	11/26/23	12/2/23	0	2	2	0	12	12	3/7/24
2023-2024	49	12/3/23	12/9/23	0	7	7	0	19	19	3/7/24
2023-2024	50	12/10/23	12/16/23	0	6	6	0	25	25	3/7/24
2023-2024	51	12/17/23	12/23/23	0	3	3	0	28	28	3/7/24
2023-2024	52	12/24/23	12/30/23	0	9	9	0	37	37	3/7/24
2023-2024	1	12/31/23	1/6/24	0	17	17	0	54	54	3/7/24
2023-2024	2	1/7/24	1/13/24	0	15	15	0	69	69	3/7/24
2023-2024	3	1/14/24	1/20/24	0	10	10	0	79	79	3/7/24
2023-2024	4	1/21/24	1/27/24	0	15	15	0	94	94	3/7/24
2023-2024	5	1/28/24	2/3/24	1	9	10	1	103	104	3/7/24
2023-2024	6	2/4/24	2/10/24	0	11	11	1	114	115	3/7/24
2023-2024	7	2/11/24	2/17/24	0	16	16	1	130	131	3/7/24
2023-2024	8	2/18/24	2/24/24	1	17	18	2	147	149	3/7/24
2023-2024	9	2/25/24	3/2/24	0	9	9	2	156	158	3/7/24
